x,y,z,w0,w1,w2,w3
0.49468,0.0809078,-1.28703e-18,0,0,0.0142035,0.999899
1.01378,0.100918,-0.141934,0,0,0.00743104,0.999972
1.5447,0.0713227,-1.27225,-0,-0,-0.144351,0.989527
2.11061,0.0862449,2.33636,0,0,0.205483,0.978661
2.65388,0.190159,-0.935141,0,0,0.0139927,0.999902
3.20868,0.20496,-0.0135328,0,0,0.0124417,0.999923
3.7704,0.217995,-0.0142765,0,0,0.0105331,0.999945
4.33022,0.230201,0.0251702,0,0,0.0131996,0.999913
4.89518,0.238925,-0.0492248,0,0,0.00325661,0.999995
5.45181,0.245099,0.020749,0,0,0.0075078,0.999972
6.01857,0.249056,0.0275127,0,0,0.00549141,0.999985
6.58377,0.267442,0.0209726,0,0,0.0194466,0.999811
7.14909,0.281793,1.78003,0,0,0.183352,0.983047
7.7164,0.362833,-0.773675,0,0,0.0178578,0.999841
8.27542,0.376886,-0.0906936,0,0,0.00481712,0.999988
8.8404,0.389426,0.0259281,0,0,0.0139169,0.999903
9.3994,0.412706,-0.0557906,0,0,0.0164348,0.999865
9.95748,0.422911,-0.754218,-0,-0,-0.0545838,0.998509
10.5033,0.272848,-0.577526,-0,-0,-0.190403,0.981706
11.0284,0.0556594,-0.0175884,-0,-0,-0.196309,0.980542
11.5514,-0.160366,0.0546729,-0,-0,-0.189724,0.981837
12.0731,-0.377364,-0.162667,-0,-0,-0.209518,0.977805
12.5954,-0.48616,1.37885,0,0,0.019527,0.999809
13.1494,-0.617334,-0.0551017,-0,-0,-0.130108,0.9915
13.7092,-0.685856,0.341967,-0,-0,-0.0215724,0.999767
14.2368,-0.745894,0.0641981,-0,-0,-0.0386334,0.999253
14.7806,-0.746944,0.150026,0,0,0.0151326,0.999885
15.3199,-0.734574,-0.00702336,0,0,0.010594,0.999944
15.8597,-0.726296,-0.111593,-0,-0,-0.00168256,0.999999
16.3998,-0.691557,-0.322783,0,0,0.00759734,0.999971
16.9464,-0.686962,0.00323412,0,0,0.00460523,0.999989
17.4983,-0.683606,0.0101461,0,0,0.00371617,0.999993
18.0589,-0.681318,-0.0235947,-0,-0,-8.20157e-05,1
18.6211,-0.682026,-0.0366923,-0,-0,-0.00351754,0.999994
19.1852,-0.687564,-0.0296068,-0,-0,-0.00803808,0.999968
19.7535,-0.696479,0.0388358,-0,-0,-0.00429654,0.999991
20.308,-0.62755,0.154272,0,0,0.083012,0.996549
20.8911,-0.56966,-0.0895809,0,0,0.0273234,0.999627
21.4583,-0.54957,-0.0284868,0,0,0.0145489,0.999894
22.0261,-0.53186,0.0567608,0,0,0.0203986,0.999792
22.6045,-0.516252,-0.0276153,0,0,0.0105341,0.999945
23.1857,-0.499699,0.060393,0,0,0.0199343,0.999801
23.7653,-0.478685,0.0287713,0,0,0.0201323,0.999797
24.3485,-0.457246,-0.0124335,0,0,0.0170891,0.999854
24.9323,-0.439268,0.00449147,0,0,0.0155936,0.999878
25.5103,-0.421692,-0.011905,0,0,0.0138731,0.999904
26.104,-0.409479,-0.0110713,0,0,0.00913746,0.999958
26.6951,-0.403329,-0.0905774,-0,-0,-0.00291078,0.999996
27.2897,-0.40866,-0.951292,-0,-0,-0.0993402,0.995054
27.8269,-0.253555,-1.35131,0,0,0.0160596,0.999871
28.3773,-0.249667,-0.0444966,-0,-0,-0.000420815,1
28.9509,-0.246334,0.013296,0,0,0.0045139,0.99999
29.5145,-0.245577,-0.0169003,-0,-0,-0.000892804,1
30.0779,-0.246736,-0.0415476,-0,-0,-0.0047892,0.999989
30.6445,-0.25109,-0.00805408,-0,-0,-0.00454812,0.99999
31.2082,-0.256545,-0.0108559,-0,-0,-0.00580343,0.999983
31.7884,-0.263806,0.0533568,-0,-0,-0.00189677,0.999998
32.3558,-0.252027,0.626917,0,0,0.0654166,0.997858
32.9175,-0.227787,-0.192884,-0,-0,-0.014569,0.999894
33.4863,-0.242961,-0.060311,-0,-0,-0.0184079,0.999831
34.0573,-0.260156,-0.0607914,-0,-0,-0.0199759,0.9998
34.6379,-0.279433,0.0230237,-0,-0,-0.0142776,0.999898
35.218,-0.30133,-0.0398223,-0,-0,-0.022897,0.999738
35.7954,-0.330313,0.0327672,-0,-0,-0.0224641,0.999748
36.3722,-0.300152,-0.223282,0,0,0.0152487,0.999884
36.9498,-0.299088,-1.12649,-0,-0,-0.099925,0.994995
37.512,-0.328932,1.55045,0,0,0.102176,0.994766
38.0851,-0.316432,0.117525,0,0,0.0152646,0.999883
38.6702,-0.331886,-0.0830904,-0,-0,-0.0246532,0.999696
39.2552,-0.363514,0.00957418,-0,-0,-0.0263989,0.999651
39.8238,-0.395049,-0.054051,-0,-0,-0.0325311,0.999471
40.3951,-0.430428,0.000701764,-0,-0,-0.0306959,0.999529
40.9659,-0.464551,0.0766443,-0,-0,-0.023352,0.999727
41.5405,-0.498432,0.0115895,-0,-0,-0.0293421,0.999569
42.1176,-0.532375,0.190976,-0,-0,-0.0135759,0.999908
42.6947,-0.550547,0.113009,-0,-0,-0.00726019,0.999974
43.2736,-0.524566,0.319359,0,0,0.052703,0.99861
43.8453,-0.459952,0.995069,0,0,0.139389,0.990238
44.4343,-0.374698,-0.705719,0,0,0.00207064,0.999998
45.0128,-0.292417,-0.185856,0,0,0.0571672,0.998365
45.5931,-0.252674,-0.0850185,0,0,0.0238454,0.999716
46.1679,-0.22728,-0.00389209,0,0,0.0216449,0.999766
46.7458,-0.20327,0.00906035,0,0,0.0214537,0.99977
47.3223,-0.192633,-0.151381,-0,-0,-0.00502826,0.999987
47.9075,-0.195542,-0.00232554,-0,-0,-0.00214377,0.999998
48.4749,-0.101216,-0.609213,0,0,0.0438559,0.999038
49.0806,-0.117733,0.0714731,-0,-0,-0.0102089,0.999948
49.6562,-0.128666,-0.029043,-0,-0,-0.011849,0.99993
50.2296,-0.139779,0.0617971,-0,-0,-0.00393993,0.999992
50.8089,-0.14421,-0.0342686,-0,-0,-0.0061896,0.999981
51.3855,-0.148307,-0.033999,-0,-0,-0.00626069,0.99998
51.9638,-0.15531,0.0146217,-0,-0,-0.00492345,0.999988
52.5401,-0.163863,0.0173521,-0,-0,-0.00610487,0.999981
53.1233,-0.198312,-0.110928,-0,-0,-0.0425589,0.999094
53.6925,-0.244297,-0.00548764,-0,-0,-0.0409439,0.999161
54.2723,-0.294698,0.0596278,-0,-0,-0.0383954,0.999263
54.8476,-0.345638,-0.02347,-0,-0,-0.0462416,0.99893
55.4331,-0.322841,-0.87193,-0,-0,-0.0447995,0.998996
56.0005,-0.263272,-1.15992,-0,-0,-0.0435437,0.999052
56.6148,-0.252024,-0.0178816,0,0,0.0229614,0.999736
57.1937,-0.228796,-0.0163855,0,0,0.0180606,0.999837
57.7747,-0.203115,-0.0973003,0,0,0.0142269,0.999899
58.3607,-0.177014,-0.0391381,0,0,0.0199188,0.999802
58.927,-0.11301,-0.316949,0,0,0.0348498,0.999393
59.5065,-0.0785171,1.05041,0,0,0.129488,0.991581
60.0638,-0.034521,1.41098,0,0,0.154972,0.987919
60.627,-0.048375,-0.107295,-0,-0,-0.0231153,0.999733
61.2181,-0.079689,-0.0243409,-0,-0,-0.0289687,0.99958
61.7945,-0.111357,-0.0516282,-0,-0,-0.0316923,0.999498
62.3688,-0.145653,-0.0802959,-0,-0,-0.0364881,0.999334
62.9545,-0.18544,-0.0584017,-0,-0,-0.0383398,0.999265
63.5489,-0.198826,0.800591,0,0,0.060341,0.998178
64.1554,-0.204701,-0.0386647,-0,-0,-0.0131354,0.999914
64.7398,-0.191916,-0.280192,-0,-0,-0.00841411,0.999965
65.3253,-0.205667,0.0369685,-0,-0,-0.0085996,0.999963
65.9116,-0.219711,0.0258101,-0,-0,-0.00997697,0.99995
66.5025,-0.234426,-0.209243,-0,-0,-0.0304266,0.999537
67.0915,-0.186213,0.315649,0,0,0.0756178,0.997137
67.6848,-0.143532,0.496868,0,0,0.0756785,0.997132
68.2766,-0.0898961,-0.0500333,0,0,0.0328364,0.999461
68.8506,-0.0521252,0.127271,0,0,0.0435827,0.99905
69.4357,-0.0120683,-0.0217537,0,0,0.0312931,0.99951
70.0127,0.086686,0.565526,0,0,0.143436,0.98966
70.604,0.0798885,0.502505,0,0,0.0318117,0.999494
71.181,0.0210986,0.752471,0,0,0.00543677,0.999985
71.8055,0.0176973,-0.0866283,-0,-0,-0.0161184,0.99987
72.3804,-0.00319892,-0.00542363,-0,-0,-0.0186885,0.999825
72.9669,-0.00581845,0.0543274,0,0,0.00532421,0.999986
73.5502,0.000316612,-0.0459106,0,0,0.00134538,0.999999
74.1351,0.044784,0.366812,0,0,0.074917,0.99719
74.7179,0.0513173,0.14645,0,0,0.011513,0.999934
75.3178,0.0604301,-0.0860891,-0,-0,-0.000942208,1
75.9051,0.0690749,0.00797569,0,0,0.00870592,0.999962
76.4912,0.0766289,0.00152307,0,0,0.00619921,0.999981
77.0726,0.140196,0.7902,0,0,0.127685,0.991815
77.611,0.361869,1.58068,0,0,0.333109,0.942888
78.0743,0.719648,0.0197837,0,0,0.332541,0.943089
78.5374,1.08361,0.18738,0,0,0.341387,0.939923
78.9888,1.45501,-0.12202,0,0,0.327017,0.945019
79.4564,1.83851,0.0415652,0,0,0.345236,0.938516
79.9038,2.22333,-0.368565,0,0,0.318474,0.947932
80.3904,2.53762,-0.493515,0,0,0.237394,0.971413
80.9393,2.74289,-0.498572,0,0,0.126705,0.99194
81.5045,2.87418,0.353141,0,0,0.141504,0.989938
82.08,3.02752,-0.898868,0,0,0.0223949,0.999749
82.6628,3.00936,-0.157184,-0,-0,-0.0327678,0.999463
83.2379,2.97395,-0.0184493,-0,-0,-0.0317057,0.999497
83.8245,2.93896,0.0134756,-0,-0,-0.0281513,0.999604
84.3976,2.90644,0.0697891,-0,-0,-0.0223013,0.999751
84.9762,2.87626,-0.0485828,-0,-0,-0.0303564,0.999539
85.5533,2.84547,-0.0116119,-0,-0,-0.0272283,0.999629
86.1375,2.81676,-0.0499285,-0,-0,-0.0283061,0.999599
86.7381,2.78434,0.0705084,-0,-0,-0.0209065,0.999781
87.3344,2.75696,-0.0149644,-0,-0,-0.0238881,0.999715
87.9176,2.73161,-0.0217337,-0,-0,-0.0237459,0.999718
88.5031,2.70958,0.0199137,-0,-0,-0.0162143,0.999869
89.0873,2.68706,-0.0478783,-0,-0,-0.0237051,0.999719
89.6723,2.66391,0.00813176,-0,-0,-0.0185512,0.999828
