x,y,z,w0,w1,w2,w3
-0.117091,-0.0110962,-6.63204e-18,0,0,0.999964,0.00846789
-0.217118,-0.0101244,0.433814,-0,-0,-0.999997,0.00236895
-0.317023,-0.0133927,0.604535,-0,-0,-0.999494,0.0318226
-0.416643,-0.0225601,0.477365,-0,-0,-0.998267,0.058843
-0.51577,-0.0364836,0.319829,-0,-0,-0.996842,0.0794056
-0.61438,-0.053429,0.0318686,-0,-0,-0.996105,0.0881756
-0.712859,-0.0706748,-0.257218,-0,-0,-0.996585,0.0825722
-0.811629,-0.0854692,-0.348935,-0,-0,-0.997867,0.0652868
-0.910845,-0.096865,-0.281731,-0,-0,-0.998771,0.0495639
-1.01043,-0.105472,-0.214345,-0,-0,-0.999309,0.0371802
-1.11029,-0.111949,-0.147355,-0,-0,-0.999604,0.0281385
-1.21035,-0.116957,-0.0809014,-0,-0,-0.999749,0.0224259
-1.31051,-0.121157,-0.0148343,-0,-0,-0.999799,0.0200282
-1.33304,-0.122058,-7.61667e-17,-0,-0,-0.999808,0.0195753
-1.43296,-0.126021,0.028986,-0,-0,-0.999794,0.0202998
-1.53287,-0.130273,0.0579842,-0,-0,-0.999747,0.0224735
-1.63275,-0.135089,0.0262568,-0,-0,-0.999675,0.0255113
-1.73262,-0.140106,-0.10223,-0,-0,-0.999721,0.0236124
-1.83255,-0.144103,-0.230423,-0,-0,-0.999883,0.0152937
-1.93258,-0.145766,-0.379686,-0,-0,-1,6.96395e-05
-2.03253,-0.14363,-0.491461,0,0,0.999745,0.0225657
-2.13221,-0.136876,-0.36915,0,0,0.999029,0.0440585
-2.23165,-0.12644,-0.246387,0,0,0.998233,0.0594221
-2.33092,-0.113542,-0.124596,0,0,0.997639,0.0686823
-2.43007,-0.0993987,-0.0035453,0,0,0.997413,0.0718816
-2.52916,-0.085223,0.073408,0,0,0.997595,0.0693152
-2.62824,-0.0716696,0.0203321,0,0,0.997755,0.0669756
-2.66608,-0.0665766,2.93083e-17,0,0,0.999611,0.0278767
-2.76592,-0.0605268,-0.285841,0,0,0.999387,0.035016
-2.86549,-0.0516859,-0.334735,0,0,0.998529,0.0542192
-2.96479,-0.0397692,0.0119995,0,0,0.998059,0.0622691
-3.0641,-0.027901,0.169074,0,0,0.998473,0.0552474
-3.16357,-0.0176159,0.112961,0,0,0.998837,0.0482055
-3.26315,-0.00845741,0.0730937,0,0,0.999038,0.0438445
-3.3628,-5.83709e-05,0.0716605,0,0,0.99919,0.0402287
-3.46251,0.0076264,0.0702338,0,0,0.999327,0.0366838
-3.56227,0.0146106,0.0688141,0,0,0.999448,0.0332096
-3.66207,0.0209081,0.0674019,0,0,0.999556,0.0298058
-3.76191,0.0265571,0.0418166,0,0,0.999637,0.0269445
-3.86178,0.0317891,0.00947398,0,0,0.999671,0.0256627
-3.89103,0.0332894,1.76141e-18,0,0,0.998716,0.0506671
-3.99052,0.0434295,-0.0117749,0,0,0.998701,0.0509611
-4.08999,0.0536865,-0.0235534,0,0,0.998655,0.0518431
-4.18942,0.0642343,-0.0857707,0,0,0.998522,0.0543544
-4.28878,0.0756362,-0.158412,0,0,0.998171,0.0604503
-4.38802,0.0881789,0.148631,0,0,0.998059,0.062276
-4.48739,0.0992347,0.532939,0,0,0.998975,0.0452707
-4.58713,0.105999,0.208431,0,0,0.999675,0.0254916
-4.68705,0.110685,-0.169377,0,0,0.999699,0.0245171
-4.7869,0.116386,-0.0909869,0,0,0.999499,0.0316654
-4.8728,0.122059,2.42396e-17,0,0,0.999993,0.00372947
-4.97279,0.12297,-0.0992661,0,0,0.999981,0.00621083
-5.07276,0.124874,-0.198505,0,0,0.999907,0.0136548
-5.1727,0.128762,-0.29725,0,0,0.999661,0.0260526
-5.27259,0.135582,-0.104159,0,0,0.999153,0.0411433
-5.37242,0.142912,0.753694,0,0,0.999688,0.0249796
-5.47221,0.142934,0.793856,-0,-0,-0.999667,0.0258214
-5.57201,0.135699,-0.340341,-0,-0,-0.999312,0.0370814
