x,y,z,w0,w1,w2,w3
0.51276,0.0416602,-1.36442e-20,0,0,0.0457211,0.998954
1.086,0.0961703,-0.0370413,0,0,0.044589,0.999005
1.67499,0.168175,0.129193,0,0,0.0742107,0.997243
2.27328,0.283855,0.130919,0,0,0.109954,0.993937
2.86632,0.440458,0.155135,0,0,0.145271,0.989392
3.46269,0.643826,0.22518,0,0,0.186195,0.982513
4.09392,0.893711,0.164377,0,0,0.200719,0.979649
4.68333,1.13439,0.0384776,0,0,0.19551,0.980702
5.2702,1.37814,0.00736567,0,0,0.196937,0.980416
5.83089,1.62498,-0.00786117,0,0,0.20638,0.978472
6.41912,1.86639,0.116796,0,0,0.199353,0.979928
7.0192,2.11518,0.662765,0,0,0.249115,0.968474
7.5445,2.43549,0.602276,0,0,0.368309,0.929704
8.08422,2.68014,-0.0525053,0,0,0.201501,0.979488
8.68275,2.87288,0.733489,0,0,0.27259,0.96213
9.23521,3.10878,-1.10658,0,0,0.117718,0.993047
9.83033,3.20225,-0.178524,0,0,0.0562109,0.998419
10.4333,3.34989,-0.74311,0,0,0.0499478,0.998752
11.0091,3.54575,-1.49929,0,0,0.0658361,0.99783
11.6093,3.6044,0.00991257,0,0,0.048301,0.998833
12.2029,3.66364,-0.0243256,0,0,0.0480575,0.998845
12.813,3.71728,-0.0758376,0,0,0.0365819,0.999331
13.3978,3.89476,2.05683,0,0,0.342689,0.939449
13.989,4.0328,-2.61386,-0,-0,-0.145464,0.989364
14.5783,4.10672,-0.0153709,0,0,0.0648474,0.997895
15.2373,4.19243,0.0329079,0,0,0.0670644,0.997749
15.8474,4.27218,0.0097394,0,0,0.0654525,0.997856
16.4564,4.35031,0.00756571,0,0,0.0640887,0.997944
17.0667,4.42118,-0.102788,0,0,0.0477423,0.99886
17.6783,4.47379,-0.11083,0,0,0.0329659,0.999456
18.2909,4.52231,-0.0267879,0,0,0.0384208,0.999262
18.8999,4.56375,-0.0182349,0,0,0.0318293,0.999493
19.5465,4.60183,-0.0490854,0,0,0.024451,0.999701
20.129,4.84363,-2.25922,0,0,0.05643,0.998407
20.7722,4.87028,0.0299777,0,0,0.0233598,0.999727
21.3886,4.89887,-0.00408694,0,0,0.0228411,0.999739
22.0268,4.92487,-0.0028534,0,0,0.0194726,0.99981
22.6177,5.08164,0.997243,0,0,0.235394,0.9719
23.2834,5.23639,-1.04869,-0,-0,-0.00272598,0.999996
23.9258,5.29046,-0.0124603,0,0,0.0316786,0.999498
24.5582,5.33367,0.488934,0,0,0.0746972,0.997206
25.24,5.41721,-0.262888,0,0,0.041355,0.999145
25.8776,5.47098,-0.00417184,0,0,0.0420106,0.999117
26.5247,5.52779,-0.00520136,0,0,0.0435795,0.99905
27.1743,5.59801,0.0351953,0,0,0.0586047,0.998281
27.8463,5.65442,-0.110733,0,0,0.0282984,0.9996
28.5024,5.6979,0.000938111,0,0,0.0346026,0.999401
29.1585,5.74115,-0.00694764,0,0,0.0315519,0.999502
29.7819,5.93922,1.11215,0,0,0.268661,0.963235
