x,y,z,w0,w1,w2,w3
0.495995,0.0837304,2.35972e-19,0,0,0.114239,0.993453
1.05551,0.160695,0.211453,0,0,0.0804143,0.996762
1.65018,0.22603,0.056167,0,0,0.0600884,0.998193
2.25555,0.318655,0.121352,0,0,0.0888169,0.996048
2.83556,0.433546,0.125432,0,0,0.109564,0.99398
3.42683,0.57524,0.0869301,0,0,0.126166,0.992009
4.0275,0.749422,0.187209,0,0,0.158882,0.987298
4.60009,0.954525,0.101143,0,0,0.18108,0.983468
5.16458,1.1801,-0.823038,0,0,0.0309801,0.99952
5.72518,1.39798,0.0819535,0,0,0.195214,0.980761
6.27969,1.63131,-0.0457589,0,0,0.193744,0.981052
6.83769,1.8427,-0.071456,0,0,0.172062,0.985086
7.39706,2.05395,0.0604214,0,0,0.18674,0.982409
7.92672,2.3757,0.478064,0,0,0.325751,0.945456
8.23302,2.86336,-0.392767,0,0,0.476054,0.879416
8.73852,3.29051,-1.54345,0,0,0.20399,0.978973
9.3196,3.44823,-0.725948,0,0,0.0607725,0.998152
9.91177,3.50518,-0.0496796,0,0,0.0438599,0.999038
10.5198,3.563,0.102897,0,0,0.0563318,0.998412
11.0808,3.77398,-1.40124,0,0,0.0697548,0.997564
11.6933,3.83841,-0.0371168,0,0,0.049177,0.99879
12.2962,3.87492,0.0183474,0,0,0.0278841,0.999611
12.9167,3.89457,0.0272381,0,0,0.0154117,0.999881
13.5148,3.90546,0.00649661,0,0,0.00841421,0.999965
14.0274,4.19099,-1.57198,0,0,0.16907,0.985604
14.6667,4.23226,-1.35895,-0,-0,-0.100204,0.994967
15.291,4.2205,0.621219,0,0,0.0563366,0.998412
15.8616,4.25558,-0.0615055,0,0,0.0186492,0.999826
16.4652,4.27643,0.0287124,0,0,0.019347,0.999813
17.0641,4.29982,0.00712171,0,0,0.0200328,0.999799
17.6611,4.33419,0.0253685,0,0,0.0322206,0.999481
18.256,4.36986,-0.171812,0,0,0.0146912,0.999892
18.837,4.40481,-0.138539,0,0,0.0207115,0.999785
19.4097,4.42669,-0.171234,0,0,0.0049724,0.999988
19.9678,4.59541,-0.868723,0,0,0.0876456,0.996152
20.6079,4.81324,-0.87432,0,0,0.0502957,0.998734
21.1853,4.84299,-0.123106,0,0,0.0136996,0.999906
21.7709,4.83836,0.0292749,-0,-0,-0.00333845,0.999994
22.3607,4.83407,-0.0149775,-0,-0,-0.00519894,0.999986
22.94,4.83251,0.0548116,0,0,0.0038238,0.999993
23.4762,5.04021,-3.36525,-0,-0,-0.0916055,0.995795
24.0499,5.02687,0.248882,-0,-0,-0.000665123,1
24.6432,5.02724,-0.0775253,-0,-0,-0.00621289,0.999981
25.2248,5.02791,0.0436358,0,0,0.00477154,0.999989
25.8053,5.04611,0.149024,0,0,0.0301955,0.999544
26.3954,5.10376,0.076476,0,0,0.0576985,0.998334
26.9832,5.17647,-0.0330973,0,0,0.0594497,0.998231
27.5661,5.24132,0.0105086,0,0,0.0559961,0.998431
28.1381,5.33041,-0.203427,0,0,0.0628186,0.998025
28.7249,5.4335,1.08432,0,0,0.183198,0.983076
29.3399,5.59967,-0.25005,0,0,0.06074,0.998154
29.932,5.67099,0.0421018,0,0,0.0637722,0.997964
30.519,5.74087,0.045687,0,0,0.0626508,0.998036
31.1017,5.80891,-0.0189322,0,0,0.0563835,0.998409
31.6907,5.88148,-0.0134408,0,0,0.06051,0.998168
32.2707,5.97753,2.45705,0,0,0.296311,0.955092
32.8651,6.1721,-0.321816,0,0,0.0616795,0.998096
33.454,6.30492,-0.550695,0,0,0.0560122,0.99843
34.1307,6.2608,0.666362,0,0,0.011492,0.999934
34.7368,6.30108,-0.10417,0,0,0.0272532,0.999629
35.3467,6.33029,0.0389115,0,0,0.0267206,0.999643
35.9802,6.36576,0.101918,0,0,0.0366528,0.999328
36.5869,6.41164,0.0729321,0,0,0.0441729,0.999024
37.2244,6.47511,-0.0218238,0,0,0.0489573,0.998801
37.8478,6.54304,-0.00119834,0,0,0.0561067,0.998425
38.4733,6.61213,-0.11971,0,0,0.0453346,0.998972
39.0983,6.65807,-0.207976,0,0,0.0173668,0.999849
39.7343,6.64748,-0.181497,-0,-0,-0.0358061,0.999359
40.3624,6.75008,1.78825,0,0,0.264889,0.964279
40.9363,6.914,-0.442958,0,0,0.103416,0.994638
41.5681,7.03429,-0.666592,0,0,0.0375688,0.999294
42.1867,7.0778,-0.2511,0,0,0.0399578,0.999201
42.7828,7.08237,-0.00394961,-0,-0,-0.00226232,0.999997
43.392,7.10588,-0.280168,0,0,0.00150451,0.999999
44.005,7.25641,-1.30305,0,0,0.028885,0.999583
44.6789,7.25315,-0.0454529,-0,-0,-0.00879123,0.999961
45.328,7.24199,0.0656757,-0,-0,-0.00375611,0.999993
45.9864,7.23793,-0.0403852,-0,-0,-0.00620773,0.999981
46.6378,7.25273,-0.0577993,0,0,0.0104059,0.999946
47.2946,7.27869,-0.113465,0,0,0.0130273,0.999915
47.9315,7.2967,-0.102378,0,0,0.0066858,0.999978
48.5432,7.31074,-0.0481661,0,0,0.00828635,0.999966
49.1369,7.3308,0.0431736,0,0,0.0211845,0.999776
49.7312,7.3718,-0.238183,0,0,0.0167007,0.999861
50.3297,7.38511,0.134667,0,0,0.0226097,0.999744
50.8808,7.50668,0.446363,0,0,0.156546,0.987671
51.4221,7.71253,-0.0424061,0,0,0.180121,0.983644
51.9846,7.89992,-0.0154912,0,0,0.155615,0.987818
52.5477,8.03602,-0.0992101,0,0,0.105031,0.994469
53.1092,8.16972,0.14045,0,0,0.130432,0.991457
53.6478,8.44307,-2.25052,0,0,0.0631658,0.998003
54.1808,8.51162,-0.0703008,0,0,0.0580488,0.998314
54.7187,8.57661,-0.441474,0,0,0.0234055,0.999726
55.2763,8.58722,0.0343485,0,0,0.0113834,0.999935
55.8563,8.6044,0.048441,0,0,0.0195357,0.999809
56.4558,8.63004,-0.035398,0,0,0.0181398,0.999835
57.0468,8.65569,0.0286235,0,0,0.025667,0.999671
57.6434,8.71787,-0.0406163,0,0,0.0530853,0.99859
58.2368,8.76705,0.33394,0,0,0.0673095,0.997732
58.8398,8.83641,-0.112201,0,0,0.0442661,0.99902
