x,y,z,w0,w1,w2,w3
0,0,5.5415e-16,0,0,0.347928,0.937521
0.0702916,0.060555,0.0259342,0,0,0.348493,0.937311
0.140596,0.121416,0.051344,0,0,0.350179,0.936683
0.210925,0.18289,0.075722,0,0,0.352962,0.935637
0.281293,0.245282,0.0985944,0,0,0.356801,0.93418
0.351711,0.308899,0.119537,0,0,0.361639,0.932318
0.422192,0.374047,0.138189,0,0,0.367408,0.93006
0.492749,0.441032,0.154266,0,0,0.374025,0.927418
0.563394,0.510161,0.167571,0,0,0.381401,0.92441
0.634141,0.581739,0.177997,0,0,0.389436,0.921054
0.705001,0.656073,0.185528,0,0,0.398027,0.917374
0.775988,0.733469,0.190238,0,0,0.40707,0.913397
0.847113,0.814234,0.19228,0,0,0.416459,0.909155
0.91839,0.898672,0.191873,0,0,0.426093,0.904679
0.989832,0.987092,0.189288,0,0,0.435876,0.900007
1.06144,1.0796,0.123122,0,0,0.444262,0.895897
1.13318,1.17513,0.0578784,0,0,0.449055,0.893504
1.20497,1.27215,-0.0017296,0,0,0.450555,0.892749
1.27677,1.36912,-0.0615036,0,0,0.448866,0.893599
1.3485,1.46451,-0.127277,0,0,0.443871,0.896091
1.4201,1.5568,-0.20605,0,0,0.435212,0.900328
1.49151,1.64445,-0.307447,0,0,0.422239,0.906485
1.56266,1.72593,-0.445893,0,0,0.403903,0.914802
1.6335,1.79971,-0.643931,0,0,0.378596,0.925562
1.70396,1.86425,-0.936732,0,0,0.343897,0.939008
1.77397,1.91804,-1.37508,0,0,0.296279,0.955101
1.84347,1.95953,-2.01327,0,0,0.230993,0.972955
1.91241,1.9872,-2.8416,0,0,0.142947,0.98973
1.98071,1.99952,-3.62658,0,0,0.0303108,0.999541
2.04833,1.99513,-3.41203,-0,-0,-0.0933216,0.995636
2.11541,1.97457,-2.58124,-0,-0,-0.197775,0.980247
2.18219,1.93938,-1.7829,-0,-0,-0.27711,0.960838
2.24891,1.89116,-1.18827,-0,-0,-0.334486,0.942401
2.3158,1.83146,-0.782872,-0,-0,-0.375122,0.926975
2.38311,1.76187,-0.510026,-0,-0,-0.403484,0.914987
2.45108,1.68397,-0.321867,-0,-0,-0.422764,0.90624
2.51994,1.59932,-0.186026,-0,-0,-0.435088,0.900388
2.58994,1.5095,-0.081733,-0,-0,-0.441821,0.897103
2.66132,1.41609,0.00451395,-0,-0,-0.44379,0.896131
2.73432,1.32066,0.0819918,-0,-0,-0.441432,0.897295
2.80918,1.22479,0.157676,-0,-0,-0.434884,0.900487
2.88613,1.13006,0.237449,-0,-0,-0.424027,0.905649
2.96542,1.03803,0.326841,-0,-0,-0.408506,0.912756
3.04725,0.95022,0.337889,-0,-0,-0.389179,0.921162
3.13124,0.867035,0.280605,-0,-0,-0.372259,0.928129
3.21649,0.787977,0.219974,-0,-0,-0.358694,0.933455
3.30211,0.712517,0.155228,-0,-0,-0.348653,0.937252
3.38721,0.640128,0.0847245,-0,-0,-0.342327,0.939581
3.47089,0.570284,0.00586454,-0,-0,-0.339955,0.940442
3.55224,0.502457,-0.0850754,-0,-0,-0.341856,0.939753
3.63038,0.43612,-0.193161,-0,-0,-0.348451,0.937327
3.70441,0.370746,-0.325004,-0,-0,-0.360289,0.932841
3.77342,0.305808,-0.488697,-0,-0,-0.378046,0.925787
3.83653,0.240779,-0.692923,-0,-0,-0.402506,0.915417
3.89283,0.175131,-0.944037,-0,-0,-0.434459,0.900692
3.94143,0.108338,-1.23935,-0,-0,-0.474474,0.880269
3.98143,0.0398726,-1.55572,-0,-0,-0.522487,0.852647
4.01196,-0.0307841,-1.72925,-0,-0,-0.576494,0.817101
4.03271,-0.103872,-1.67129,-0,-0,-0.628287,0.777981
4.0441,-0.1793,-1.53697,-0,-0,-0.674852,0.737953
4.04656,-0.256955,-1.3574,-0,-0,-0.715327,0.69879
4.04056,-0.336727,-1.16349,-0,-0,-0.749635,0.661851
4.02654,-0.418502,-0.977497,-0,-0,-0.778238,0.627969
4.00494,-0.502169,-0.811436,-0,-0,-0.80186,0.597511
3.97621,-0.587617,-0.669488,-0,-0,-0.821291,0.57051
3.9408,-0.674734,-0.551181,-0,-0,-0.837266,0.546796
3.89915,-0.763408,-0.453866,-0,-0,-0.850421,0.526102
3.85173,-0.853526,-0.374212,-0,-0,-0.861283,0.508126
3.79896,-0.944979,-0.308966,-0,-0,-0.870273,0.49257
3.7413,-1.03765,-0.255269,-0,-0,-0.877727,0.47916
3.6792,-1.13144,-0.210735,-0,-0,-0.88391,0.467656
3.61311,-1.22622,-0.173426,-0,-0,-0.88903,0.45785
3.54346,-1.32189,-0.141785,-0,-0,-0.893248,0.449565
3.47072,-1.41833,-0.11457,-0,-0,-0.896692,0.442656
3.39532,-1.51543,-0.0907778,-0,-0,-0.89946,0.437003
3.31772,-1.61309,-0.069595,-0,-0,-0.901629,0.432511
3.23836,-1.71119,-0.0503477,-0,-0,-0.903254,0.429105
3.15768,-1.80961,-0.0324641,-0,-0,-0.904379,0.42673
3.07615,-1.90825,-0.0154432,-0,-0,-0.905031,0.425347
