x,y,z,w0,w1,w2,w3
0.1131,-0.000738898,2.58794e-18,-0,-0,-0.00730884,0.999973
0.213086,-0.00237197,-0.102818,-0,-0,-0.00987919,0.999951
0.313062,-0.0045891,0.0874175,-0,-0,-0.0106051,0.999944
0.413049,-0.00617371,0.0298173,-0,-0,-0.00599446,0.999982
0.513041,-0.00741159,-0.0390248,-0,-0,-0.00688512,0.999976
0.613029,-0.00899529,-0.00354782,-0,-0,-0.00861834,0.999963
0.713015,-0.0106258,0.023434,-0,-0,-0.00747056,0.999972
0.813006,-0.0120391,0.0173666,-0,-0,-0.00675946,0.999977
0.912998,-0.0132396,0.056077,-0,-0,-0.00492341,0.999988
1.013,-0.0140502,-0.0253823,-0,-0,-0.00392603,0.999992
1.11299,-0.0150537,-0.0227006,-0,-0,-0.00601397,0.999982
1.21298,-0.016277,0.0146735,-0,-0,-0.00588913,0.999983
1.31298,-0.0173732,0.00883884,-0,-0,-0.00508697,0.999987
1.41297,-0.0184106,-0.0211917,-0,-0,-0.00558981,0.999984
1.51296,-0.0195532,0.0275783,-0,-0,-0.00543014,0.999985
1.61296,-0.0204045,0.0876702,-0,-0,-0.00257496,0.999997
1.71296,-0.0205069,-0.00728472,0,0,0.000603486,1
1.81296,-0.0206446,-0.0532387,-0,-0,-0.00236705,0.999997
1.91296,-0.0212686,-0.00741384,-0,-0,-0.0034274,0.999994
2.01296,-0.0220194,-0.0202296,-0,-0,-0.00421468,0.999991
2.11295,-0.022904,0.0154728,-0,-0,-0.00433359,0.999991
2.21295,-0.0236525,0.0357093,-0,-0,-0.00299624,0.999996
2.31295,-0.0240285,0.0741476,-0,-0,-0.000423934,1
2.41295,-0.0237089,-0.00927108,0,0,0.00296444,0.999996
2.51295,-0.0235326,-0.120583,-0,-0,-0.0023745,0.999997
2.61294,-0.0243655,0.00772795,-0,-0,-0.00478345,0.999989
2.71294,-0.0252823,0.0084366,-0,-0,-0.00437934,0.99999
2.81294,-0.0260749,0.0381349,-0,-0,-0.00328067,0.999995
2.91294,-0.0265112,0.0378883,-0,-0,-0.00111633,0.999999
3.01294,-0.0265673,0.0327532,0,0,0.000510288,1
3.11294,-0.0262924,0.0227888,0,0,0.00220628,0.999998
3.21293,-0.0258338,-0.0280532,0,0,0.00190694,0.999998
3.31293,-0.0255075,0.023096,0,0,0.00178301,0.999998
3.41293,-0.0250766,-0.0269672,0,0,0.00202519,0.999998
3.51293,-0.0248787,-0.0457525,-0,-0,-0.000156076,1
3.61293,-0.0251217,-0.00996158,-0,-0,-0.00197934,0.999998
3.71293,-0.0254498,0.052827,-0,-0,-0.000757743,1
3.81293,-0.0252678,0.0818639,0,0,0.00290515,0.999996
3.91293,-0.0245148,-0.0605607,0,0,0.00343771,0.999994
4.01293,-0.0242117,-0.0758919,-0,-0,-0.000426161,1
4.11293,-0.024595,0.0264105,-0,-0,-0.00246473,0.999997
4.21293,-0.0247619,0.0313386,0,0,0.000858733,1
4.31293,-0.0246774,-0.0683631,-0,-0,-0.000969661,1
4.41293,-0.0251741,-0.0428842,-0,-0,-0.00379679,0.999993
4.51292,-0.0260769,-0.000325776,-0,-0,-0.00487703,0.999988
4.61292,-0.027064,-0.0134813,-0,-0,-0.0051304,0.999987
4.71291,-0.0280891,0.0836706,-0,-0,-0.00419457,0.999991
4.81291,-0.0283347,0.0728887,0,0,0.00165223,0.999999
4.91291,-0.0279087,-0.0399811,0,0,0.00154315,0.999999
5.01291,-0.0277817,-0.0415733,-0,-0,-0.000208389,1
5.11291,-0.0282372,-0.165142,-0,-0,-0.00537658,0.999986
5.21289,-0.0303591,-0.300222,-0,-0,-0.0169764,0.999856
5.31277,-0.0352134,-0.133903,-0,-0,-0.0298829,0.999553
5.41258,-0.0414595,-0.00957223,-0,-0,-0.0315879,0.999501
5.51237,-0.047855,-0.00917732,-0,-0,-0.0324515,0.999473
5.61216,-0.0542982,0.0529419,-0,-0,-0.0315506,0.999502
5.712,-0.0600646,0.219087,-0,-0,-0.0247531,0.999694
5.81192,-0.0640768,0.0408235,-0,-0,-0.0171385,0.999853
5.91186,-0.0675025,0.0450585,-0,-0,-0.0168633,0.999858
6.01181,-0.070483,0.101437,-0,-0,-0.0124743,0.999922
6.11179,-0.07248,0.0559338,-0,-0,-0.00776719,0.99997
6.21178,-0.0740071,-0.083315,-0,-0,-0.00874421,0.999962
6.31176,-0.0761953,-0.0970912,-0,-0,-0.013254,0.999912
6.41171,-0.079173,0.0276441,-0,-0,-0.0153851,0.999882
6.51167,-0.0819931,0.0139446,-0,-0,-0.0130819,0.999914
6.61164,-0.0846696,-0.0309662,-0,-0,-0.0140636,0.999901
6.7116,-0.0876341,-0.0186677,-0,-0,-0.0155114,0.99988
6.81155,-0.0907613,0.0230517,-0,-0,-0.0154216,0.999881
6.9115,-0.0936471,0.0728321,-0,-0,-0.0130248,0.999915
7.01148,-0.0960101,-0.0237782,-0,-0,-0.0114962,0.999934
7.11145,-0.0984849,0.0231628,-0,-0,-0.0127073,0.999919
7.21142,-0.10076,0.0312051,-0,-0,-0.00997086,0.99995
7.3114,-0.10277,-0.0465596,-0,-0,-0.0108642,0.999941
7.41137,-0.105166,-0.0419326,-0,-0,-0.0130472,0.999915
7.51133,-0.108013,-0.0588508,-0,-0,-0.0155665,0.999879
7.61127,-0.111349,0.001201,-0,-0,-0.017242,0.999851
7.71122,-0.114717,0.0168145,-0,-0,-0.0163681,0.999866
7.81117,-0.117923,0.004098,-0,-0,-0.0157971,0.999875
7.91112,-0.121085,0.0158949,-0,-0,-0.0158104,0.999875
8.01107,-0.124025,0.086381,-0,-0,-0.0128926,0.999917
