x,y,z,w0,w1,w2,w3
0.112857,0.00213509,2.46155e-20,0,0,0.0190613,0.999818
0.212815,0.00490418,-0.62519,0,0,0.00342091,0.999994
0.312804,0.0014875,-1.1899,-0,-0,-0.0422017,0.999109
0.411697,-0.0129229,-0.545807,-0,-0,-0.0958879,0.995392
0.509733,-0.032903,0.181007,-0,-0,-0.0990536,0.995082
0.608013,-0.0512473,0.31607,-0,-0,-0.0836962,0.996491
0.706804,-0.0667963,0.0844629,-0,-0,-0.0742771,0.997238
0.805728,-0.0814168,-0.0199735,-0,-0,-0.0733376,0.997307
0.90465,-0.0960617,0.0361058,-0,-0,-0.0730756,0.997326
1.00363,-0.110297,0.143357,-0,-0,-0.0688168,0.997629
1.10283,-0.122916,0.386839,-0,-0,-0.0555889,0.998454
1.2024,-0.132176,0.316835,-0,-0,-0.0377732,0.999286
1.30223,-0.13817,0.326095,-0,-0,-0.0220279,0.999757
1.40218,-0.14105,0.122171,-0,-0,-0.0086481,0.999963
1.50217,-0.142716,-0.0891329,-0,-0,-0.0100056,0.99995
1.60214,-0.145093,-0.0565599,-0,-0,-0.0134701,0.999909
1.7021,-0.148053,-0.0484493,-0,-0,-0.0160537,0.999871
1.80204,-0.151509,-0.0511351,-0,-0,-0.0185429,0.999828
1.90196,-0.155452,-0.0339307,-0,-0,-0.0207342,0.999785
2.00187,-0.159744,-0.0308971,-0,-0,-0.0221768,0.999754
2.10176,-0.164346,-0.032891,-0,-0,-0.0238879,0.999715
2.20164,-0.169267,-0.0155519,-0,-0,-0.0252184,0.999682
2.30152,-0.174308,0.0318508,-0,-0,-0.0248111,0.999692
2.4014,-0.179185,-0.0175133,-0,-0,-0.0243977,0.999702
2.50127,-0.184174,-0.011065,-0,-0,-0.0254034,0.999677
2.60114,-0.189274,0.00912616,-0,-0,-0.0254433,0.999676
2.70102,-0.194287,0.0127891,-0,-0,-0.0246536,0.999696
2.8009,-0.199187,-0.00669231,-0,-0,-0.0245309,0.999699
2.90077,-0.204148,-0.0200612,-0,-0,-0.0251995,0.999682
3.00064,-0.209253,0.00082143,-0,-0,-0.0256914,0.99967
3.10052,-0.214322,0.0500604,-0,-0,-0.0245765,0.999698
3.20041,-0.218891,0.105022,-0,-0,-0.0206755,0.999786
3.30035,-0.222404,0.193039,-0,-0,-0.0137585,0.999905
3.40034,-0.223955,0.272384,-0,-0,-0.000822433,1
3.50033,-0.223088,0.0741857,0,0,0.00783471,0.999969
3.60032,-0.221273,0.000859602,0,0,0.00971096,0.999953
3.7003,-0.219443,-0.0671701,0,0,0.00802706,0.999968
3.80029,-0.218254,-0.0823975,0,0,0.00377315,0.999993
3.90029,-0.217878,-0.0584123,0,0,0.000176736,1
4.00029,-0.218081,-0.0261269,-0,-0,-0.00194215,0.999998
4.10029,-0.218545,0.00739482,-0,-0,-0.00241045,0.999997
4.20029,-0.218974,0.0156604,-0,-0,-0.0018203,0.999998
4.30029,-0.219237,0.0332387,-0,-0,-0.000649074,1
4.40029,-0.219196,0.00369184,0,0,0.000776412,1
4.50029,-0.219119,-0.0259928,-0,-0,-0.000284502,1
4.60029,-0.219271,-0.006075,-0,-0,-0.00107186,0.999999
4.70029,-0.219488,0.0107379,-0,-0,-0.000955288,1
4.80029,-0.219573,0.0429911,0,0,0.000380067,1
4.90029,-0.219324,-0.0192259,0,0,0.00149135,0.999999
5.00029,-0.219227,-0.0317503,-0,-0,-0.000577664,1
5.10029,-0.219432,0.00605139,-0,-0,-0.00115466,0.999999
5.20029,-0.219581,0.0359953,-0,-0,-8.35714e-05,1
5.30029,-0.219375,0.0615244,0,0,0.00235441,0.999997
5.40029,-0.218628,0.0409996,0,0,0.00493703,0.999988
5.50028,-0.217483,0.00892903,0,0,0.00624375,0.999981
5.60027,-0.216232,0.00193027,0,0,0.00622271,0.999981
5.70027,-0.214963,-0.0125778,0,0,0.00638016,0.99998
5.80026,-0.213845,-0.0482558,0,0,0.00439867,0.99999
5.90026,-0.213106,0.0123754,0,0,0.00350167,0.999994
6.00025,-0.212344,0.0112123,0,0,0.00410495,0.999992
6.10025,-0.211467,0.0124519,0,0,0.00468147,0.999989
6.20024,-0.21048,-0.0117544,0,0,0.00496785,0.999988
6.30024,-0.20961,-0.0305669,0,0,0.00355603,0.999994
6.40024,-0.209024,-0.0204406,0,0,0.00240916,0.999997
6.50024,-0.208673,-0.0377894,0,0,0.000953416,1
6.60024,-0.208589,0.0134328,0,0,0.000321448,1
6.70024,-0.208436,0.00193312,0,0,0.00105537,0.999999
6.80024,-0.208249,-0.00114759,0,0,0.000803728,1
6.90024,-0.208075,-0.0138235,0,0,0.000857884,1
7.00024,-0.208066,-0.0458333,-0,-0,-0.00112952,0.999999
7.10024,-0.208407,0.0224153,-0,-0,-0.00171496,0.999999
7.20024,-0.208678,-0.00389579,-0,-0,-0.00122576,0.999999
7.30024,-0.208954,0.00218448,-0,-0,-0.00145013,0.999999
7.40024,-0.209212,0.00934524,-0,-0,-0.00107631,0.999999
7.50024,-0.209386,-0.020179,-0,-0,-0.000869978,1
7.60024,-0.209794,-0.0966733,-0,-0,-0.00385692,0.999993
7.70023,-0.211152,-0.158579,-0,-0,-0.010238,0.999948
7.80019,-0.213912,-0.107322,-0,-0,-0.0169296,0.999857
7.90012,-0.217737,-0.0461322,-0,-0,-0.0208073,0.999784
8.00002,-0.222009,0.0405556,-0,-0,-0.0211817,0.999776
