x,y,z,w0,w1,w2,w3
0.125024,0,2.69399e-19,0,0,6.21361e-05,1
0.225023,4.47278e-06,-0.00477256,-0,-0,-5.71796e-05,1
0.325024,-1.23538e-05,0.0186381,0,0,0.000113357,1
0.425021,6.83754e-05,-0.0443708,0,0,6.90739e-05,1
0.525032,-0.000206136,0.0810292,-0,-0,-0.00176883,0.999998
0.625008,0.000379451,0.0185207,0,0,0.0083865,0.999965
0.725024,-9.98462e-07,-1.25981,-0,-0,-0.0228708,0.999738
0.824421,-0.0125074,-2.28355,-0,-0,-0.110637,0.993861
0.918679,-0.0453425,-1.36411,-0,-0,-0.212874,0.97708
1.00785,-0.0910862,-0.296213,-0,-0,-0.247986,0.968764
1.09529,-0.139479,0.124159,-0,-0,-0.248095,0.968736
1.18311,-0.187342,-0.0332678,-0,-0,-0.247258,0.96895
1.27084,-0.235313,0.00894085,-0,-0,-0.247485,0.968892
1.3586,-0.283255,-0.00232787,-0,-0,-0.247415,0.96891
1.44636,-0.331205,0.000824353,-0,-0,-0.24745,0.968901
1.53411,-0.379153,1.94914e-05,-0,-0,-0.24743,0.968906
1.62187,-0.427101,-0.000225709,-0,-0,-0.247438,0.968904
1.70962,-0.47505,0.000805237,-0,-0,-0.247431,0.968906
1.79738,-0.522997,-0.00299487,-0,-0,-0.247453,0.9689
1.88513,-0.570952,0.0111701,-0,-0,-0.247371,0.968921
1.97292,-0.618863,-0.0267306,-0,-0,-0.247403,0.968913
2.06056,-0.666939,0.0496128,-0,-0,-0.248442,0.968647
2.14854,-0.71464,-0.287948,-0,-0,-0.244434,0.969666
2.23426,-0.76607,-2.20486,-0,-0,-0.304672,0.952457
2.3091,-0.832502,-2.02163,-0,-0,-0.403078,0.915165
2.36904,-0.912777,-1.91139,-0,-0,-0.49127,0.871007
2.41277,-1.00261,-0.955189,-0,-0,-0.561481,0.82749
2.44804,-1.09628,0.274933,-0,-0,-0.566758,0.823884
2.48448,-1.18939,-0.0998575,-0,-0,-0.563272,0.826272
2.52073,-1.28259,0.00443052,-0,-0,-0.56524,0.824926
2.55691,-1.37581,0.00351642,-0,-0,-0.564563,0.82539
2.59315,-1.46901,-0.00623342,-0,-0,-0.564735,0.825272
2.62935,-1.56224,0.0163055,-0,-0,-0.564778,0.825243
2.66564,-1.65538,-0.0570163,-0,-0,-0.564416,0.82549
2.7011,-1.74907,-1.06392,-0,-0,-0.579204,0.815183
2.72602,-1.84572,-2.26683,-0,-0,-0.653795,0.756671
2.73007,-1.94585,-1.80777,-0,-0,-0.726886,0.686758
2.7145,-2.04482,-2.3577,-0,-0,-0.794181,0.607681
2.67961,-2.1385,0.659783,-0,-0,-0.830867,0.55647
2.64996,-2.23378,1.99452,-0,-0,-0.771493,0.636238
2.63892,-2.33343,0.90529,-0,-0,-0.723625,0.690194
2.63692,-2.43337,-0.158548,-0,-0,-0.710869,0.703324
2.63445,-2.53333,-0.527061,-0,-0,-0.722833,0.691023
2.62599,-2.63306,-1.61375,-0,-0,-0.756097,0.654459
2.60184,-2.73023,-2.33378,-0,-0,-0.820773,0.571255
2.55596,-2.81896,-1.90307,-0,-0,-0.883891,0.467693
2.49555,-2.89883,0.727964,-0,-0,-0.896565,0.442913
2.43945,-2.98172,2.04002,-0,-0,-0.863854,0.503742
2.40017,-3.07371,2.17283,-0,-0,-0.802609,0.596506
2.38094,-3.17192,0.259846,-0,-0,-0.750628,0.660725
2.36389,-3.27033,-2.14453,-0,-0,-0.793291,0.608843
2.32822,-3.36397,-1.88413,-0,-0,-0.850072,0.526666
2.27486,-3.44873,-2.27832,-0,-0,-0.900071,0.435744
2.20493,-3.52007,-1.30081,-0,-0,-0.937946,0.346783
2.12603,-3.58174,-0.229709,-0,-0,-0.9498,0.312857
2.04567,-3.6412,0.0738874,-0,-0,-0.948889,0.31561
1.96562,-3.70116,-0.0284861,-0,-0,-0.949015,0.315232
1.88551,-3.761,0.00683675,-0,-0,-0.948819,0.315821
1.80536,-3.8208,-0.0794724,-0,-0,-0.949636,0.313354
1.72529,-3.88071,0.329908,-0,-0,-0.946728,0.322033
1.64511,-3.94052,-1.55375,-0,-0,-0.956119,0.292979
1.55742,-3.9887,-1.8852,-0,-0,-0.979279,0.202514
1.46246,-4.01995,-0.893442,-0,-0,-0.992484,0.122371
1.36503,-4.0428,0.264776,-0,-0,-0.99295,0.118537
1.26801,-4.06697,-0.105898,-0,-0,-0.992555,0.121795
1.17091,-4.09086,0.0259222,-0,-0,-0.992771,0.120027
1.07381,-4.11478,-0.00249708,-0,-0,-0.9927,0.120608
0.976714,-4.1387,-1.06698e-05,-0,-0,-0.992726,0.120396
0.879614,-4.16261,0.000325634,-0,-0,-0.992719,0.120451
0.782516,-4.18652,-0.000172002,-0,-0,-0.992721,0.120438
0.685417,-4.21043,4.78717e-05,-0,-0,-0.992721,0.12044
0.588318,-4.23435,-1.58453e-05,-0,-0,-0.992721,0.12044
0.491219,-4.25826,6.78414e-06,-0,-0,-0.992721,0.12044
0.39412,-4.28217,-1.80979e-06,-0,-0,-0.992721,0.12044
0.297021,-4.30608,6.2171e-07,-0,-0,-0.992721,0.12044
0.199922,-4.33,1.01854e-07,-0,-0,-0.992721,0.12044
