x,y,z,w0,w1,w2,w3
0.110785,0.0011868,9.4718e-18,-0,-0,-0.00221137,0.999998
0.210784,0.000718924,-0.0153598,-0,-0,-0.00259536,0.999997
0.310783,0.000214149,0.0475344,-0,-0,-0.00189682,0.999998
0.410783,0.000101073,0.0353381,0,0,0.000584145,1
0.510783,0.000291701,-0.0462466,0,0,0.000591773,1
0.610782,0.00011505,-0.00546421,-0,-0,-0.00189854,0.999998
0.710782,-0.000150659,0.0178137,-0,-0,-0.000610531,1
0.810782,-0.000250319,0.00516728,-0,-0,-0.000521598,1
0.910782,-0.000278281,0.00129438,0,0,0.000272929,1
1.01078,-0.000341773,-0.0455057,-0,-0,-0.00140372,0.999999
1.11078,-0.00075693,0.0037962,-0,-0,-0.00230898,0.999997
1.21078,-0.0011648,0.0207442,-0,-0,-0.00160305,0.999999
1.31078,-0.00142454,-0.00496403,-0,-0,-0.00120855,0.999999
1.41078,-0.00165198,0.0251388,-0,-0,-0.000789937,1
1.51078,-0.00167759,0.0131116,0,0,0.000388335,1
1.61078,-0.00157218,-0.00921439,0,0,0.000480409,1
1.71078,-0.00153994,0.00120076,-0,-0,-5.10121e-05,1
1.81078,-0.00148929,0.0344943,0,0,0.000834974,1
1.91078,-0.00110323,0.0235333,0,0,0.00300001,0.999995
2.01078,-0.000523843,0.0370453,0,0,0.00259873,0.999997
2.11077,0.000694867,0.29901,0,0,0.0120057,0.999928
2.2107,0.00458275,0.285172,0,0,0.0268361,0.99964
2.3105,0.010821,-0.0456726,0,0,0.032821,0.999461
2.41031,0.0169796,-0.113055,0,0,0.0283696,0.999598
2.51018,0.0221043,-0.0565149,0,0,0.0234735,0.999724
2.61008,0.0266616,0.00737453,0,0,0.0226756,0.999743
2.70997,0.031264,0.0199031,0,0,0.0234917,0.999724
2.80986,0.0360377,0.00619309,0,0,0.024144,0.999708
2.90974,0.0409227,0.0251502,0,0,0.02489,0.99969
3.00961,0.0460375,0.0168705,0,0,0.0261792,0.999657
3.10947,0.0513221,0.00665064,0,0,0.026593,0.999646
3.20932,0.0566813,0.0100427,0,0,0.0270549,0.999634
3.30917,0.0621328,0.00442609,0,0,0.0274408,0.999623
3.40902,0.0676009,-0.0196656,0,0,0.0270599,0.999634
3.50888,0.0729087,-0.0155544,0,0,0.0260926,0.99966
3.60875,0.0780656,-0.00199723,0,0,0.0256116,0.999672
3.70862,0.0831985,0.00284365,0,0,0.0257761,0.999668
3.80848,0.0883551,-0.000222482,0,0,0.0257721,0.999668
3.90835,0.093518,0.00611207,0,0,0.0259288,0.999664
4.00822,0.0987332,0.00651135,0,0,0.0262443,0.999656
4.10808,0.103993,-0.00913557,0,0,0.0262307,0.999656
4.20794,0.109172,-0.0140074,0,0,0.0255441,0.999674
4.30782,0.114213,-0.00976141,0,0,0.0249146,0.99969
4.40769,0.119157,-0.0068261,0,0,0.0245792,0.999698
4.50757,0.124022,-0.0106418,0,0,0.0240251,0.999711
4.60746,0.128898,0.0643417,0,0,0.0253672,0.999678
4.70731,0.134277,0.0277222,0,0,0.0280482,0.999607
4.80715,0.139946,-0.00881248,0,0,0.0283746,0.999597
4.90699,0.145536,-0.0154078,0,0,0.0274883,0.999622
5.00685,0.150982,-0.00587286,0,0,0.0270989,0.999633
5.1067,0.156352,-0.0155896,0,0,0.026519,0.999648
5.20656,0.161596,-0.00314714,0,0,0.0260508,0.999661
5.30643,0.166824,0.0205738,0,0,0.0264513,0.99965
5.40628,0.172238,0.0207577,0,0,0.0276853,0.999617
5.50612,0.177849,-0.0141622,0,0,0.0281549,0.999604
5.60597,0.183309,-0.0493182,0,0,0.026114,0.999659
5.70585,0.188332,-0.0255211,0,0,0.0243638,0.999703
5.80574,0.192995,-0.0742635,0,0,0.0218699,0.999761
5.90566,0.19696,-0.0874585,0,0,0.0177074,0.999843
6.00561,0.200044,-0.104702,0,0,0.0129844,0.999916
6.10559,0.202107,-0.0573615,0,0,0.00802697,0.999968
6.20558,0.203627,0.0379681,0,0,0.00804526,0.999968
6.30556,0.205464,0.0563506,0,0,0.0105008,0.999945
6.40554,0.207791,0.0235687,0,0,0.0124987,0.999922
6.5055,0.210411,0.0360185,0,0,0.0138417,0.999904
6.60546,0.213362,0.0166434,0,0,0.0154793,0.99988
6.70541,0.216478,-0.0166551,0,0,0.0154076,0.999881
6.80537,0.219432,-0.0315544,0,0,0.013976,0.999902
6.90533,0.222102,-0.0158582,0,0,0.0128854,0.999917
7.0053,0.224516,-0.0660754,0,0,0.0108372,0.999941
7.10528,0.22642,0.0044299,0,0,0.00888701,0.999961
7.20527,0.228342,0.0591514,0,0,0.0107554,0.999942
7.30523,0.230837,0.0559718,0,0,0.0141791,0.999899
7.40519,0.23387,0.00795692,0,0,0.0157535,0.999876
7.50514,0.236986,-0.0330957,0,0,0.0150444,0.999887
7.6051,0.239846,-0.022822,0,0,0.0136466,0.999907
7.70506,0.242471,-0.0180106,0,0,0.0126438,0.99992
7.80503,0.244908,-0.0254515,0,0,0.0116528,0.999932
7.90501,0.247101,-0.0058804,0,0,0.0104323,0.999946
8.00499,0.24925,0.023876,0,0,0.0113909,0.999935
8.10496,0.251565,-0.0186886,0,0,0.0113563,0.999936
8.20493,0.253814,0.0239523,0,0,0.0114879,0.999934
8.30491,0.256257,0.0310903,0,0,0.012974,0.999916
8.40487,0.258981,-0.00547834,0,0,0.0139303,0.999903
8.50483,0.261663,-0.0175375,0,0,0.0127811,0.999918
8.6048,0.264191,0.00654835,0,0,0.0127354,0.999919
8.70477,0.266756,0.00259882,0,0,0.0128548,0.999917
8.80473,0.269444,0.0647808,0,0,0.0145391,0.999894
8.90468,0.272639,0.0169664,0,0,0.0169294,0.999857
9.00462,0.276013,-0.03261,0,0,0.0164189,0.999865
9.10458,0.279071,-0.0505838,0,0,0.0140127,0.999902
9.20454,0.281638,-0.0423097,0,0,0.0117254,0.999931
9.30452,0.283776,-0.037913,0,0,0.00968956,0.999953
9.4045,0.285562,-0.015623,0,0,0.00835121,0.999965
9.50449,0.287265,0.0657956,0,0,0.00941257,0.999956
9.60446,0.289549,0.0457823,0,0,0.0131622,0.999913
9.70443,0.29229,0.000594317,0,0,0.0138575,0.999904
9.80439,0.295058,-0.00371954,0,0,0.0137857,0.999905
9.90435,0.297787,-0.0119068,0,0,0.0134629,0.999909
10.0043,0.300332,-0.0648385,0,0,0.0115444,0.999933
10.1043,0.302389,0.0122824,0,0,0.00978032,0.999952
10.2043,0.304502,0.0212152,0,0,0.0113439,0.999936
10.3042,0.306823,-0.00480312,0,0,0.0116451,0.999932
10.4042,0.309102,-0.00546125,0,0,0.0110898,0.999939
10.5042,0.31137,0.035425,0,0,0.0119798,0.999928
10.6042,0.313833,-0.0308746,0,0,0.0120935,0.999927
10.7041,0.31613,0.0182931,0,0,0.0113881,0.999935
10.8041,0.318582,0.045702,0,0,0.0133236,0.999911
10.9041,0.32147,0.00731506,0,0,0.0152475,0.999884
11.004,0.324413,-0.038977,0,0,0.0136874,0.999906
11.104,0.327062,0.0274169,0,0,0.0133472,0.999911
11.2039,0.330022,0.11978,0,0,0.0170266,0.999855
11.3039,0.33397,0.0433984,0,0,0.0216863,0.999765
11.4038,0.338438,0.0597271,0,0,0.0232439,0.99973
11.5036,0.343522,0.160326,0,0,0.0284403,0.999595
11.6034,0.350215,0.254261,0,0,0.039408,0.999223
11.703,0.359362,0.247251,0,0,0.0521596,0.998639
11.8023,0.370752,0.0925446,0,0,0.060641,0.99816
11.9016,0.383036,-0.0830871,0,0,0.0609468,0.998141
12.0009,0.394596,-0.11993,0,0,0.0546786,0.998504
12.1004,0.404981,-0.0794586,0,0,0.0496393,0.998767
12.1999,0.414578,-0.0294274,0,0,0.0468438,0.998902
12.2995,0.423891,0.0236752,0,0,0.0468937,0.9989
12.399,0.433273,-0.0393229,0,0,0.0465029,0.998918
12.4986,0.442383,-0.00512148,0,0,0.0450559,0.998984
12.5982,0.451357,-0.076956,0,0,0.0440704,0.999028
12.6979,0.459572,-0.154182,0,0,0.0374818,0.999297
12.7977,0.466282,-0.179885,0,0,0.0295012,0.999565
12.8975,0.471143,-0.251966,0,0,0.018447,0.99983
12.9975,0.473721,-0.162835,0,0,0.00807829,0.999967
13.0975,0.474549,-0.171957,0,0,4.80372e-05,1
13.1975,0.473643,-0.216553,-0,-0,-0.00950441,0.999955
13.2975,0.470584,-0.229689,-0,-0,-0.0212091,0.999775
13.3973,0.465248,-0.232263,-0,-0,-0.0320816,0.999485
13.497,0.457506,-0.325442,-0,-0,-0.0462421,0.99893
13.5964,0.446783,-0.244543,-0,-0,-0.0604707,0.99817
13.6956,0.433512,-0.262687,-0,-0,-0.0727587,0.99735
13.7943,0.417682,-0.242583,-0,-0,-0.0858301,0.99631
13.8926,0.399451,-0.235886,-0,-0,-0.097159,0.995269
13.9905,0.378884,-0.261186,-0,-0,-0.109888,0.993944
14.0878,0.355821,-0.238877,-0,-0,-0.122044,0.992525
14.1845,0.330189,-0.392685,-0,-0,-0.137698,0.990474
