x,y,z,w0,w1,w2,w3
0.501139,0.00918929,-1.4269e-17,-0,-0,-0.110746,0.993849
1.18585,0.0219228,-0.099092,-0,-0,-0.014145,0.9999
1.76173,0.0160608,0.0990704,0,0,0.00430296,0.999991
2.35773,0.0272348,-0.0331276,0,0,0.00730526,0.999973
2.97633,0.077112,-0.340208,0,0,0.0198917,0.999802
3.61044,0.140694,-0.736933,-0,-0,-0.00238002,0.999997
4.22321,0.134524,-0.0327925,-0,-0,-0.00790569,0.999969
4.83745,0.127885,0.0638554,0,0,0.000236356,1
5.47066,0.161461,-0.755179,-0,-0,-0.0294408,0.999567
6.09828,0.044084,-1.03031,-0,-0,-0.201995,0.979387
6.63141,-0.246062,-1.8527,-0,-0,-0.407838,0.913054
7.02128,-0.747618,-0.899557,-0,-0,-0.513823,0.857896
7.2037,-1.37377,-0.411966,-0,-0,-0.646659,0.762779
7.36991,-2.01393,-0.297937,-0,-0,-0.643951,0.765067
7.43583,-2.63871,0.194623,-0,-0,-0.666401,0.745593
7.40753,-3.27943,-0.107975,-0,-0,-0.723361,0.69047
7.36707,-3.9307,0.200542,-0,-0,-0.719315,0.694685
7.36738,-4.61848,0.019265,-0,-0,-0.703746,0.710452
7.37714,-5.29736,0.0340327,-0,-0,-0.699357,0.714773
7.37934,-5.97627,0.206847,-0,-0,-0.694295,0.719691
7.4083,-6.65719,0.141422,-0,-0,-0.683366,0.730076
7.47332,-7.34304,-0.175539,-0,-0,-0.68065,0.732608
7.52712,-8.01494,0.0287951,-0,-0,-0.675404,0.737448
7.58489,-8.66818,-0.10191,-0,-0,-0.68097,0.732311
7.62066,-9.33733,0.101541,-0,-0,-0.682739,0.730663
7.64637,-10.016,-0.0703153,-0,-0,-0.701639,0.712533
7.66683,-10.6978,0.00792547,-0,-0,-0.694442,0.719549
7.69326,-11.3763,0.0412126,-0,-0,-0.68977,0.724029
7.73027,-12.0556,-0.139177,-0,-0,-0.694935,0.719073
7.78784,-12.7407,-0.642903,-0,-0,-0.703467,0.710728
7.86029,-13.4604,-0.23388,-0,-0,-0.682368,0.731009
7.92771,-14.1609,-0.069704,-0,-0,-0.669978,0.742381
7.98519,-14.8416,0.00242732,-0,-0,-0.677605,0.735426
8.04137,-15.5188,0.016489,-0,-0,-0.676529,0.736416
8.10183,-16.1961,0.0156507,-0,-0,-0.67362,0.739078
8.15685,-16.8744,-0.102292,-0,-0,-0.684924,0.728615
8.17584,-17.5539,-0.0393734,-0,-0,-0.702571,0.711614
8.19081,-18.2319,-0.0348386,-0,-0,-0.700595,0.713559
8.20154,-18.9126,0.0703848,-0,-0,-0.697495,0.716589
8.22615,-19.5928,0.0048241,-0,-0,-0.692927,0.721008
8.25687,-20.2735,0.301406,-0,-0,-0.671033,0.741428
8.30032,-20.9497,0.0605175,-0,-0,-0.684473,0.729038
8.34397,-21.6276,-0.0866002,-0,-0,-0.689262,0.724512
8.35261,-22.3087,0.0299874,-0,-0,-0.705458,0.708751
8.37672,-22.9843,0.0384022,-0,-0,-0.688466,0.725269
8.39269,-23.6648,0.201671,-0,-0,-0.688342,0.725386
8.44375,-24.3458,-0.0240004,-0,-0,-0.680681,0.73258
8.49099,-25.0229,-0.0211136,-0,-0,-0.683383,0.73006
8.54392,-25.7012,0.137806,-0,-0,-0.668423,0.743781
8.60575,-26.3799,-0.109615,-0,-0,-0.683211,0.730221
