x,y,z,w0,w1,w2,w3
0.52913,-0.232527,7.14211e-18,-0,-0,-0.137283,0.990532
1.1104,-0.275781,-0.0103477,-0,-0,-0.0274302,0.999624
1.66143,-0.290175,0.593505,0,0,0.0376923,0.999289
2.26007,-0.205068,-0.0295217,0,0,0.0727104,0.997353
2.86215,-0.112096,-0.0565595,0,0,0.0728976,0.997339
3.45511,-0.0250024,0.0213164,0,0,0.0742555,0.997239
4.04693,0.0661946,0.108484,0,0,0.0855792,0.996331
4.64787,0.157375,-0.0129566,0,0,0.0742842,0.997237
5.26733,0.191922,-0.649147,-0,-0,-0.0372941,0.999304
5.86624,0.0631006,-0.661385,-0,-0,-0.172108,0.985078
6.42278,-0.271479,0.390499,-0,-0,-0.222482,0.974937
6.89208,-0.710693,1.98013,-0,-0,-0.236807,0.971557
7.33379,-1.15212,-0.434297,-0,-0,-0.435777,0.900055
7.61638,-1.73376,7.53798,0,0,0.146308,0.989239
7.70955,-2.31786,-7.33359,-0,-0,-0.999377,0.0353003
7.70426,-2.91725,7.63935,-0,-0,-0.00308357,0.999995
7.7057,-3.54083,10.0907,-0,-0,-0.138361,0.990382
8.06952,-4.0139,2.62294,-0,-0,-0.197989,0.980204
8.09748,-4.62814,-0.271469,-0,-0,-0.707005,0.707209
8.05066,-5.28753,10.1148,-0,-0,-0.174732,0.984616
8.0987,-5.87961,0.911936,-0,-0,-0.656065,0.754705
8.13504,-6.5442,-0.0496542,-0,-0,-0.691601,0.72228
8.15922,-7.17039,-0.0179843,-0,-0,-0.694499,0.719493
8.17908,-7.81973,-0.0602417,-0,-0,-0.700516,0.713637
8.19541,-8.46667,-0.1201,-0,-0,-0.705303,0.708906
8.21624,-9.11735,-0.0210839,-0,-0,-0.696147,0.717899
8.22524,-9.75391,0.834582,-0,-0,-0.590891,0.806752
8.30819,-10.4559,-10.0926,-0,-0,-0.972764,0.231799
8.25566,-11.0855,8.19781,-0,-0,-0.0809576,0.996718
8.26376,-11.7199,9.54256,-0,-0,-0.12556,0.992086
8.32177,-12.3187,0.0141198,-0,-0,-0.693704,0.72026
8.34138,-12.9536,-0.0620339,-0,-0,-0.700293,0.713855
8.34778,-13.5853,0.0282356,-0,-0,-0.702006,0.712171
8.35711,-14.2114,-0.761981,-0,-0,-0.799627,0.600496
8.36972,-14.8361,-0.0546024,-0,-0,-0.703789,0.71041
8.36107,-15.4646,0.674219,-0,-0,-0.680901,0.732376
8.43051,-16.0952,-0.434485,-0,-0,-0.682555,0.730835
8.46329,-16.7422,-0.011142,-0,-0,-0.690314,0.72351
8.48869,-17.3859,-0.0128543,-0,-0,-0.694126,0.719853
8.51484,-18.0265,-1.40737,-0,-0,-0.753216,0.657773
8.54372,-18.6682,0.00792407,-0,-0,-0.688636,0.725107
8.57953,-19.3484,0.0344271,-0,-0,-0.68578,0.727809
8.61102,-19.9934,-0.0140503,-0,-0,-0.691314,0.722554
8.65229,-20.6365,0.151849,-0,-0,-0.672842,0.739786
8.71379,-21.3127,-0.391662,-0,-0,-0.694865,0.71914
8.6032,-21.9531,0.55535,-0,-0,-0.731019,0.682357
8.56414,-22.5958,0.067973,-0,-0,-0.72442,0.689359
8.54622,-23.2412,0.548664,-0,-0,-0.682569,0.730821
8.62613,-23.9193,10.5958,-0,-0,-0.0261807,0.999657
8.80438,-24.5282,-0.0667568,-0,-0,-0.631442,0.775423
8.91899,-25.1625,-0.0584626,-0,-0,-0.646721,0.762727
9.0275,-25.7959,0.0342231,-0,-0,-0.642285,0.766466
9.11374,-26.4331,-0.0941828,-0,-0,-0.667795,0.744345
9.16,-27.0748,0.00840348,-0,-0,-0.684714,0.728812
9.20804,-27.7364,-0.0104284,-0,-0,-0.680563,0.73269
9.25067,-28.3835,0.0599653,-0,-0,-0.680054,0.733162
9.28456,-29.036,0.00339653,-0,-0,-0.690207,0.723612
9.32318,-29.7208,0.036383,-0,-0,-0.683634,0.729825
9.3613,-30.3967,-0.0568167,-0,-0,-0.691094,0.722764
9.387,-31.0777,0.046012,-0,-0,-0.691215,0.722649
9.41654,-31.7578,-0.115079,-0,-0,-0.698197,0.715906
9.43329,-32.436,-0.00184196,-0,-0,-0.698146,0.715955
9.45728,-33.1161,0.0424341,-0,-0,-0.690811,0.723036
9.48724,-33.7959,-0.0387185,-0,-0,-0.693948,0.720025
9.52615,-34.4748,0.0435468,-0,-0,-0.681727,0.731607
9.56626,-35.1536,0.00242176,-0,-0,-0.687027,0.726632
9.59658,-35.833,-0.0297629,-0,-0,-0.694471,0.719521
9.61058,-36.5118,-0.0232327,-0,-0,-0.702829,0.711359
9.62581,-37.1926,0.11936,-0,-0,-0.690303,0.723521
9.65527,-37.8716,-0.045537,-0,-0,-0.69586,0.718178
9.68382,-38.5509,-0.030954,-0,-0,-0.692509,0.72141
9.6931,-39.2322,-0.0894203,-0,-0,-0.709836,0.704367
9.69435,-39.9118,0.0016091,-0,-0,-0.706106,0.708106
9.70389,-40.59,-0.034696,-0,-0,-0.703064,0.711127
9.71665,-41.2714,-0.0241461,-0,-0,-0.701341,0.712826
9.72546,-41.9514,0.0996244,-0,-0,-0.697555,0.716531
