x,y,z,w0,w1,w2,w3
0.469874,-0.197561,3.17942e-19,0,0,0.026759,0.999642
1.01952,-0.175627,-0.0317115,0,0,0.0174851,0.999847
1.58577,-0.162137,-0.111525,0,0,0.00205634,0.999998
2.19873,-0.162308,-0.0433965,-0,-0,-0.00374014,0.999993
2.82122,-0.167648,0.00702258,-0,-0,-0.00387933,0.999992
3.48823,-0.15093,0.170729,0,0,0.032785,0.999462
4.13524,-0.0913531,0.101257,0,0,0.0583105,0.998298
4.80538,-0.0262695,-0.147541,0,0,0.03327,0.999446
5.47952,0.0223878,-0.111886,0,0,0.0313477,0.999509
6.26154,-0.115012,-0.48672,-0,-0,-0.146135,0.989265
6.89005,-0.485779,-0.339911,-0,-0,-0.32264,0.946522
7.33912,-1.04639,-1.14824,-0,-0,-0.535902,0.84428
7.56709,-1.7184,-1.10166,-0,-0,-0.673605,0.739091
7.57428,-2.50059,-0.154284,-0,-0,-0.71718,0.696888
7.52202,-3.1553,0.589976,-0,-0,-0.703518,0.710677
7.50621,-3.81494,-0.103176,-0,-0,-0.72449,0.689285
7.49326,-4.4842,0.15485,-0,-0,-0.701169,0.712995
7.50697,-5.16492,0.0279492,-0,-0,-0.697826,0.716267
7.52196,-5.84573,0.00361583,-0,-0,-0.699479,0.714653
7.54898,-6.52323,0.0239057,-0,-0,-0.689105,0.724661
7.58,-7.204,0.449249,-0,-0,-0.664536,0.747256
7.59318,-7.88319,-0.0479943,-0,-0,-0.707972,0.70624
7.5889,-8.56348,-0.00983965,-0,-0,-0.710588,0.703608
7.5779,-9.24438,-0.0330966,-0,-0,-0.715428,0.698686
7.56358,-9.92223,-0.0223433,-0,-0,-0.715061,0.699062
7.58175,-10.5999,0.0837289,-0,-0,-0.687188,0.72648
7.62494,-11.2803,0.00553757,-0,-0,-0.683505,0.729945
7.68921,-11.9579,0.683878,-0,-0,-0.628659,0.777681
7.75214,-12.6819,0.264158,-0,-0,-0.681704,0.731628
7.76644,-13.356,-0.0437039,-0,-0,-0.708858,0.705351
7.76059,-14.0321,-0.14294,-0,-0,-0.719165,0.694839
7.74321,-14.7124,0.0386099,-0,-0,-0.711223,0.702967
7.73507,-15.3911,0.0526609,-0,-0,-0.708193,0.706019
7.74134,-16.0734,-0.0660763,-0,-0,-0.707191,0.707023
7.74754,-16.7523,-0.0165744,-0,-0,-0.704141,0.71006
7.75563,-17.4325,-0.0509351,-0,-0,-0.705012,0.709195
7.85597,-18.1023,-0.579242,-0,-0,-0.671598,0.740915
7.87162,-18.7875,0.0303024,-0,-0,-0.701166,0.712998
7.89264,-19.4668,0.0547859,-0,-0,-0.690948,0.722905
7.93865,-20.145,0.0218131,-0,-0,-0.678963,0.734173
7.98764,-20.8244,-0.0178686,-0,-0,-0.682324,0.73105
8.13039,-21.4862,-1.19772,-0,-0,-0.684266,0.729233
8.15701,-22.2071,-0.0057056,-0,-0,-0.69319,0.720755
8.19056,-22.9017,0.0137392,-0,-0,-0.688008,0.725703
8.23702,-23.5763,0.0715397,-0,-0,-0.6761,0.73681
8.3593,-24.2481,-0.876427,-0,-0,-0.682116,0.731244
8.44957,-25.0155,0.0431431,-0,-0,-0.655453,0.755236
8.44017,-25.7329,0.0339196,-0,-0,-0.726221,0.687461
8.47462,-26.316,0.281401,-0,-0,-0.661149,0.750254
8.55096,-26.9055,-0.0214617,-0,-0,-0.661154,0.75025
8.62239,-27.5117,0.16566,-0,-0,-0.654283,0.75625
8.6781,-28.1224,-0.00401538,-0,-0,-0.678776,0.734345
8.90482,-28.5836,-1.82305,-0,-0,-0.674596,0.738187
8.93463,-29.1986,-0.00510789,-0,-0,-0.690644,0.723195
8.95931,-29.8234,0.00561128,-0,-0,-0.693191,0.720754
8.98305,-30.4557,-0.0687617,-0,-0,-0.698047,0.716052
8.99949,-31.1028,-0.0245052,-0,-0,-0.698943,0.715178
9.01286,-31.7332,-0.0137198,-0,-0,-0.70061,0.713544
9.01766,-32.3541,-0.0498448,-0,-0,-0.708019,0.706193
9.01751,-32.9956,0.0182187,-0,-0,-0.70602,0.708192
9.03103,-33.6839,-0.154572,-0,-0,-0.70778,0.706433
9.05265,-34.3606,-0.0772579,-0,-0,-0.697747,0.716344
9.10325,-35.0425,-0.119649,-0,-0,-0.681236,0.732063
9.15457,-35.7175,0.0135227,-0,-0,-0.678232,0.734848
9.20376,-36.398,0.0710831,-0,-0,-0.677484,0.735537
9.26178,-37.0749,1.13637,-0,-0,-0.603488,0.797372
9.5862,-37.7375,-1.74265,-0,-0,-0.648471,0.76124
9.58995,-38.53,0.0643272,-0,-0,-0.709281,0.704926
9.61425,-39.2007,0.0550955,-0,-0,-0.687381,0.726297
9.63397,-39.8883,-0.321433,-0,-0,-0.71389,0.700258
