x,y,z,w0,w1,w2,w3
0.352043,-0.360116,-1.08392e-19,0,0,0.00869192,0.999962
0.900063,-0.35263,-0.00423912,0,0,0.00669709,0.999978
1.46757,-0.331208,0.544808,0,0,0.0660772,0.997815
2.04836,-0.233941,-0.722928,0,0,0.0134873,0.999909
2.63236,-0.229245,-0.013471,0,0,0.00246214,0.999997
3.24791,-0.239076,0.0485013,-0,-0,-0.00677645,0.999977
3.87034,-0.253112,0.0191095,-0,-0,-0.0104661,0.999945
4.47634,-0.256219,0.0504656,0,0,0.00254561,0.999997
5.08844,-0.251187,0.02782,0,0,0.00631819,0.99998
5.69929,-0.244761,0.0300176,0,0,0.00769408,0.99997
6.33278,-0.237015,1.76027,0,0,0.151232,0.988498
6.9619,-0.158471,-1.34992,-0,-0,-0.0795751,0.996829
7.54498,-0.2605,-0.0165216,-0,-0,-0.0827005,0.996574
8.15466,-0.329831,1.8082,0,0,0.102972,0.994684
8.76027,-0.36089,0.359925,-0,-0,-0.00409127,0.999992
9.687,-0.400634,-0.213114,-0,-0,-0.0461182,0.998936
10.3723,-0.537947,-0.123653,-0,-0,-0.124015,0.99228
11.0197,-0.712624,0.208596,-0,-0,-0.113874,0.993495
11.6508,-0.88714,0.182271,-0,-0,-0.124378,0.992235
12.2851,-0.787599,-3.04132,-0,-0,-0.125689,0.99207
12.9279,-0.882794,0.0986225,-0,-0,-0.0520205,0.998646
13.5752,-0.92749,0.114277,-0,-0,-0.0204189,0.999792
14.228,-0.944025,0.0899298,-0,-0,-0.00430837,0.999991
14.86,-0.787811,-1.89183,-0,-0,-0.00639449,0.99998
15.5385,-0.832834,-0.0364515,-0,-0,-0.0383944,0.999263
16.1827,-0.889579,-0.0354059,-0,-0,-0.0480786,0.998844
16.8402,-0.953665,-0.00309205,-0,-0,-0.0485347,0.998821
17.518,-1.00835,0.0545897,-0,-0,-0.033272,0.999446
18.2053,-0.985626,-0.543622,-0,-0,-0.0176816,0.999844
18.864,-0.958275,-0.144258,0,0,0.0191749,0.999816
19.5198,-0.94734,0.0950755,0,0,0.0140664,0.999901
20.1857,-0.920937,-0.0211971,0,0,0.0191479,0.999817
20.8529,-0.901548,-0.0247018,0,0,0.00951976,0.999955
21.5196,-0.890329,1.45655,0,0,0.128906,0.991657
22.1986,-0.72909,-1.22932,-0,-0,-0.00792464,0.999969
22.8346,-0.736114,-0.0865513,-0,-0,-0.0100308,0.99995
23.5239,-0.753005,0.0380545,-0,-0,-0.00921638,0.999958
24.1927,-0.764189,0.0228336,-0,-0,-0.00704716,0.999975
24.8599,-0.763809,-0.203272,-0,-0,-0.0158682,0.999874
25.5266,-0.744311,2.51082,0,0,0.231619,0.972807
26.221,-0.640445,-0.220529,0,0,0.0121396,0.999926
26.9128,-0.60788,-0.00730004,0,0,0.027695,0.999616
27.5925,-0.566863,0.00747712,0,0,0.030122,0.999546
28.2641,-0.533643,0.0217793,0,0,0.0244281,0.999702
28.9282,-0.489818,-0.134845,0,0,0.0217714,0.999763
29.5789,-0.354796,-1.35376,0,0,0.0186288,0.999826
30.2466,-0.366674,-0.136212,-0,-0,-0.0238893,0.999715
30.9095,-0.395485,0.100619,-0,-0,-0.0125643,0.999921
31.6133,-0.401542,-0.126088,-0,-0,-0.0150807,0.999886
32.2857,-0.342461,-0.448566,0,0,0.0273066,0.999627
32.9958,-0.337547,0.0535231,0,0,0.00858862,0.999963
33.7046,-0.311821,-0.0945596,0,0,0.0140547,0.999901
34.3898,-0.305509,0.00883515,0,0,0.00460276,0.999989
35.0559,-0.292442,-0.00968319,0,0,0.0103205,0.999947
35.7246,-0.220834,0.230641,0,0,0.087045,0.996204
36.4139,-0.158647,-0.233315,0,0,0.0258241,0.999667
37.0827,-0.151016,0.965567,0,0,0.0826353,0.99658
37.7191,-0.13308,-0.380186,-0,-0,-0.0196584,0.999807
38.3544,-0.180805,-0.0520554,-0,-0,-0.0440053,0.999031
39.0085,-0.230931,0.0159841,-0,-0,-0.0345656,0.999402
39.6786,-0.26446,-0.0286387,-0,-0,-0.0252843,0.99968
40.3461,-0.206885,-0.841199,-0,-0,-0.00329868,0.999995
41.01,-0.233308,-0.0602386,-0,-0,-0.0279179,0.99961
41.668,-0.268008,-0.0764702,-0,-0,-0.0325589,0.99947
42.3066,-0.288515,0.249298,0,0,0.00863547,0.999963
42.9434,-0.258254,1.65006,0,0,0.163767,0.986499
43.6221,-0.174921,-0.367722,0,0,0.00326877,0.999995
44.2825,-0.199048,-0.0197655,-0,-0,-0.0228459,0.999739
44.9214,-0.221546,-0.0848474,-0,-0,-0.023538,0.999723
45.5554,-0.253579,0.0390626,-0,-0,-0.0225784,0.999745
46.1967,-0.283495,0.0678956,-0,-0,-0.0174169,0.999848
46.8163,-0.167915,-0.285917,0,0,0.0966227,0.995321
47.4855,-0.158978,0.0518845,0,0,0.00386072,0.999993
48.1497,-0.150278,0.255134,0,0,0.0303011,0.999541
48.8257,-0.189137,0.201929,-0,-0,-0.0233094,0.999728
49.6045,-0.204383,-0.0482919,-0,-0,-0.0107684,0.999942
50.2412,-0.208784,-0.16206,-0,-0,-0.0156013,0.999878
50.8966,-0.222719,0.0322546,-0,-0,-0.00542871,0.999985
51.5295,-0.174973,1.20978,0,0,0.151758,0.988418
52.1487,-0.168507,-0.0501684,-0,-0,-0.0168107,0.999859
52.8197,-0.173084,-0.320303,-0,-0,-0.0296534,0.99956
53.4577,-0.211905,-0.0530061,-0,-0,-0.0348863,0.999391
54.0982,-0.24853,-0.096442,-0,-0,-0.035552,0.999368
54.7604,-0.206336,-0.449701,0,0,0.00949373,0.999955
55.5319,-0.240589,-0.0424454,-0,-0,-0.0319455,0.99949
56.2019,-0.257062,-0.0429449,-0,-0,-0.0109294,0.99994
56.8677,-0.266429,0.138205,0,0,0.00699202,0.999976
57.5036,-0.247461,0.163777,0,0,0.03114,0.999515
58.137,-0.213136,1.35062,0,0,0.138148,0.990412
58.7946,-0.0985675,0.466516,0,0,0.090461,0.9959
59.4229,-0.0529179,0.152745,0,0,0.0338089,0.999428
60.0239,-0.023338,-0.478735,-0,-0,-0.0208273,0.999783
60.6618,-0.024034,-0.451542,-0,-0,-0.0340277,0.999421
61.308,-0.0372498,-0.159929,-0,-0,-0.0202591,0.999795
61.9531,-0.0315523,0.0580705,0,0,0.0131407,0.999914
62.587,-0.038831,0.485986,0,0,0.0332914,0.999446
63.2117,-0.0362711,0.108185,0,0,0.0154368,0.999881
64.1803,-0.0169649,-0.21013,-0,-0,-0.00591167,0.999983
64.8669,-0.0240749,-0.00908842,-0,-0,-0.00201642,0.999998
65.5495,-0.0554699,-0.375793,-0,-0,-0.0472365,0.998884
66.1866,-0.0854717,0.119152,-0,-0,-0.00772189,0.99997
66.8086,-0.0556188,-0.318083,0,0,0.00751149,0.999972
67.4431,-0.0233435,-0.230854,-0,-0,-0.000255637,1
68.0854,-0.0216049,-0.606133,-0,-0,-0.0400115,0.999199
68.7425,-0.0210176,0.217466,0,0,0.0248554,0.999691
69.4665,-0.0153749,-0.33036,-0,-0,-0.0216897,0.999765
70.1026,-0.046186,0.148843,-0,-0,-0.0121029,0.999927
70.7433,-0.0827264,0.0100188,-0,-0,-0.0310944,0.999516
71.3985,-0.0635444,0.783392,0,0,0.094193,0.995554
72.0276,-0.0558462,0.984152,0,0,0.0718979,0.997412
72.6559,-0.0702709,-0.0312205,-0,-0,-0.0062226,0.999981
73.3018,-0.0756198,1.0932,0,0,0.0914886,0.995806
73.9357,-0.0554342,-0.384654,-0,-0,-0.0167989,0.999859
74.5768,-0.0609415,0.060194,-0,-0,-0.00788405,0.999969
75.2096,-0.0475841,-0.392477,-0,-0,-0.0155386,0.999879
75.8689,-0.0919356,0.0223841,-0,-0,-0.0358939,0.999356
