x,y,z,w0,w1,w2,w3
0,0,-3.9021e-16,0,0,0.358625,0.933482
0.0724826,0.0653708,0.0162937,0,0,0.358996,0.933339
0.144912,0.130903,0.0324848,0,0,0.360109,0.93291
0.217234,0.196756,0.0484704,0,0,0.361956,0.932195
0.289396,0.263093,0.0641468,0,0,0.364528,0.931192
0.361344,0.330074,0.0794097,0,0,0.367813,0.9299
0.433026,0.39786,0.0941538,0,0,0.371793,0.928316
0.504386,0.466612,0.108274,0,0,0.376446,0.926438
0.575373,0.536491,0.121666,0,0,0.381748,0.924266
0.645932,0.607657,0.134228,0,0,0.38767,0.921798
0.716011,0.680273,0.145862,0,0,0.394178,0.919034
0.785555,0.754499,0.156475,0,0,0.401237,0.915974
0.854512,0.830496,0.165983,0,0,0.408805,0.912622
0.922827,0.908425,0.174315,0,0,0.41684,0.90898
0.990448,0.988447,0.18141,0,0,0.425297,0.905054
1.05741,1.07047,0.0269956,0,0,0.430795,0.90245
1.12425,1.15283,-0.15217,0,0,0.427827,0.903861
1.19173,1.23329,-0.347952,0,0,0.416042,0.909345
1.26059,1.30957,-0.581004,0,0,0.394434,0.918924
1.33158,1.37944,-0.872163,0,0,0.361224,0.932479
1.40544,1.44064,-1.23453,0,0,0.313978,0.94943
1.48294,1.49091,-1.65052,0,0,0.250179,0.9682
1.5647,1.52825,-1.70637,0,0,0.174502,0.984657
1.65059,1.5526,-1.57222,0,0,0.101668,0.994818
1.7401,1.5648,-1.37742,0,0,0.0350553,0.999385
1.83269,1.56568,-1.16686,-0,-0,-0.0238385,0.999716
1.92788,1.55611,-0.970339,-0,-0,-0.0747846,0.9972
2.02512,1.53691,-0.801373,-0,-0,-0.118345,0.992973
2.12392,1.50895,-0.662643,-0,-0,-0.155434,0.987846
2.22375,1.47305,-0.551503,-0,-0,-0.187039,0.982353
2.32411,1.43006,-0.4635,-0,-0,-0.214078,0.976817
2.42446,1.38084,-0.394113,-0,-0,-0.237345,0.971425
2.52431,1.32621,-0.339427,-0,-0,-0.257505,0.966277
2.62313,1.26704,-0.296293,-0,-0,-0.275102,0.961415
2.72041,1.20415,-0.262277,-0,-0,-0.290579,0.956851
2.81563,1.13841,-0.235549,-0,-0,-0.3043,0.952576
2.90828,1.07064,-0.214768,-0,-0,-0.31656,0.948572
2.99784,1.0017,-0.198995,-0,-0,-0.327609,0.944813
3.08392,0.932306,-0.197774,-0,-0,-0.337952,0.941163
3.16663,0.862621,-0.194783,-0,-0,-0.347932,0.93752
3.24623,0.792671,-0.189575,-0,-0,-0.35747,0.933925
3.32297,0.722476,-0.182085,-0,-0,-0.366488,0.930423
3.39712,0.652059,-0.172301,-0,-0,-0.374912,0.92706
3.46892,0.581442,-0.160267,-0,-0,-0.38267,0.923885
3.53863,0.510646,-0.146078,-0,-0,-0.389698,0.920943
3.60651,0.439693,-0.129885,-0,-0,-0.395936,0.918278
3.67282,0.368605,-0.11188,-0,-0,-0.401331,0.915933
3.7378,0.297405,-0.0922964,-0,-0,-0.405839,0.913944
3.80172,0.226113,-0.0714011,-0,-0,-0.409422,0.912345
3.86482,0.154753,-0.0494857,-0,-0,-0.41205,0.911161
3.92738,0.0833445,-0.0268611,-0,-0,-0.413703,0.910412
3.98963,0.0119109,-0.00385079,-0,-0,-0.414366,0.91011
