x,y,z,w0,w1,w2,w3
-38.9373,8.26673,0,-0,-0,-0.0471763,0.998887
-38.9373,8.26673,-1.36562e-17,-0,-0,-0.0581744,0.998306
-38.8378,8.25669,0.954715,-0,-0,-0.0343962,0.999408
-38.7379,8.25451,0.436046,0,0,0.00684183,0.999977
-38.6851,8.25564,-1.26029e-19,0,0,0.0432621,0.999064
-38.5855,8.26485,0.343958,0,0,0.051849,0.998655
-38.4863,8.27675,0.0372765,0,0,0.0642226,0.997936
-38.478,8.27783,1.33468e-17,-0,-0,-0.0511945,0.998689
-38.3783,8.26881,0.736471,-0,-0,-0.0328326,0.999461
-38.2784,8.26653,0.24454,0,0,0.00536427,0.999986
-38.2618,8.26673,-7.47513e-19,-0,-0,-0.0424119,0.9991
-38.1621,8.25408,-2.55537,-0,-0,-0.104982,0.994474
-38.0726,8.22234,-7.85072e-19,-0,-0,-0.131304,0.991342
-37.9764,8.19477,-0.938386,-0,-0,-0.154437,0.988003
-37.8832,8.15884,-0.771806,-0,-0,-0.210325,0.977631
-37.8295,8.13357,5.19424e-17,-0,-0,-0.194468,0.980909
-37.7359,8.09621,0.698621,-0,-0,-0.177322,0.984153
-37.6407,8.06578,1.43437,-0,-0,-0.124756,0.992187
-37.5426,8.04858,0.718076,-0,-0,-0.0548242,0.998496
-37.5052,8.0448,1.28322e-17,-0,-0,-0.251826,0.967772
-37.4155,8.00056,3.111,-0,-0,-0.176736,0.984258
-37.3341,7.97823,-6.63158e-19,-0,-0,-0.0985018,0.995137
-37.236,7.95845,-0.100747,-0,-0,-0.101008,0.994886
-37.1382,7.9377,-0.201636,-0,-0,-0.108525,0.994094
-37.0408,7.915,-0.17349,-0,-0,-0.119988,0.992775
-36.9828,7.90055,7.45829e-18,-0,-0,-0.158288,0.987393
-36.8876,7.86979,0.323372,-0,-0,-0.150304,0.98864
-36.7915,7.84214,0.534484,-0,-0,-0.126587,0.991955
-36.7126,7.82288,-1.55225e-18,-0,-0,-0.152764,0.988263
-36.617,7.79319,0.330665,-0,-0,-0.144593,0.989491
-36.5206,7.76671,0.634466,-0,-0,-0.120003,0.992774
-36.4244,7.7452,-1.73912e-18,-0,-0,-0.116643,0.993174
-36.3271,7.72212,0.0528926,-0,-0,-0.11533,0.993327
-36.2296,7.69955,0.0969824,-0,-0,-0.111401,0.993776
-36.1361,7.67862,2.49728e-17,-0,-0,-0.180863,0.983508
-36.0421,7.64381,0.543817,-0,-0,-0.167495,0.985873
-35.9467,7.61427,1.09631,-0,-0,-0.12697,0.991907
-35.849,7.59337,0.199353,-0,-0,-0.0916313,0.995793
-35.8299,7.58985,-1.27891e-17,-0,-0,-0.10356,0.994623
-35.7323,7.56803,-0.749998,-0,-0,-0.122171,0.992509
-35.636,7.54107,-0.145141,-0,-0,-0.144852,0.989453
-35.6137,7.53437,1.19262e-19,-0,-0,-0.0945119,0.995524
-35.5153,7.51646,0.553104,-0,-0,-0.0807496,0.996734
-35.4162,7.50319,0.146372,-0,-0,-0.056598,0.998397
-35.3976,7.50108,-3.36655e-17,-0,-0,-0.0972825,0.995257
-35.3,7.4793,-1.49154,-0,-0,-0.134192,0.990955
-35.2051,7.44768,-0.0868947,-0,-0,-0.174162,0.984717
-35.1994,7.4456,2.85441e-20,-0,-0,-0.0987729,0.99511
-35.1014,7.42557,-0.228992,-0,-0,-0.104467,0.994528
-35.0038,7.40386,-0.0295346,-0,-0,-0.111993,0.993709
-34.9922,7.40121,-7.22189e-18,-0,-0,-0.112933,0.993603
-34.8944,7.38068,1.17956,-0,-0,-0.0836681,0.996494
-34.7951,7.36883,0.13017,-0,-0,-0.0453096,0.998973
-34.7851,7.36793,-8.52165e-19,-0,-0,-0.0484157,0.998827
-34.6856,7.35823,-0.0160936,-0,-0,-0.0488176,0.998808
-34.586,7.34837,-0.0321875,-0,-0,-0.0500231,0.998748
-34.4866,7.33822,-0.0117028,-0,-0,-0.0513589,0.99868
-34.4518,7.33464,1.63776e-18,-0,-0,-0.0572289,0.998361
-34.3525,7.32328,0.0450637,-0,-0,-0.0561042,0.998425
-34.2531,7.31238,0.0893555,-0,-0,-0.0527294,0.998609
-34.1536,7.30215,0.00665326,-0,-0,-0.0503324,0.998733
-34.1456,7.30135,1.09487e-20,-0,-0,-0.0462107,0.998932
-34.046,7.29197,-0.088163,-0,-0,-0.0484123,0.998827
-33.9465,7.28188,-0.0250682,-0,-0,-0.0519048,0.998652
-33.9204,7.27915,7.46082e-19,-0,-0,-0.0133801,0.99991
-33.8204,7.27621,-0.162017,-0,-0,-0.0174299,0.999848
-33.7205,7.27164,-0.32456,-0,-0,-0.0295888,0.999562
-33.6208,7.26393,-0.243821,-0,-0,-0.046968,0.998896
-33.5511,7.25696,-2.67299e-17,-0,-0,-0.133998,0.990982
-33.4536,7.23496,2.88826,-0,-0,-0.0632336,0.997999
-33.3538,7.23317,0.618007,0,0,0.0257352,0.999669
-33.3259,7.23477,1.19373e-17,-0,-0,-0.109634,0.993972
-33.228,7.21435,0.850952,-0,-0,-0.0885256,0.996074
-33.1291,7.20085,0.579716,-0,-0,-0.0499551,0.998751
-33.0293,7.19309,0.180086,-0,-0,-0.0309907,0.99952
-32.9837,7.19038,1.87492e-19,-0,-0,-0.0590129,0.998257
-32.8842,7.18029,1.02811,-0,-0,-0.0334101,0.999442
-32.7842,7.17854,0.356396,0,0,0.00865514,0.999963
-32.7495,7.17928,-2.75499e-17,0,0,0.00821888,0.999966
-32.6495,7.17989,-0.622627,-0,-0,-0.0073057,0.999973
-32.5498,7.17486,-0.622962,-0,-0,-0.042494,0.999097
-32.4505,7.16365,-0.397694,-0,-0,-0.0679484,0.997689
-32.3514,7.14846,-0.175624,-0,-0,-0.0822499,0.996612
-32.2721,7.1349,8.11125e-17,0,0,0.022952,0.999737
-32.172,7.13614,-2.04155,-0,-0,-0.0275244,0.999621
-32.0734,7.121,-0.711489,-0,-0,-0.110329,0.993895
-32.0379,7.1127,-2.88674e-19,-0,-0,-0.060796,0.99815
-31.9385,7.10106,0.308262,-0,-0,-0.0531036,0.998589
-31.8389,7.0925,0.619757,-0,-0,-0.029937,0.999552
-31.739,7.08985,0.394852,0,0,0.00130877,0.999999
-31.6777,7.09051,8.07502e-20,0,0,0.0117491,0.999931
-31.5776,7.09115,-1.03274,-0,-0,-0.0139963,0.999902
-31.478,7.08344,-0.354797,-0,-0,-0.0559377,0.998434
-31.4435,7.07941,6.08043e-27,-0,-0,-0.0472257,0.998884
-31.3439,7.06998,1.95022e-08,-0,-0,-0.0472257,0.998884
-31.2444,7.06054,6.87093e-09,-0,-0,-0.0472257,0.998884
-31.2093,7.05722,-5.85628e-21,-0,-0,-0.0419195,0.999121
-31.1097,7.0486,-0.146426,-0,-0,-0.0455764,0.998961
