x,y,z,w0,w1,w2,w3
-0.261204,0.0332885,3.52789e-17,0,0,0.988024,0.1543
-0.35643,0.0637456,0.0167495,0,0,0.988089,0.153886
-0.451719,0.0940472,0.033479,0,0,0.988281,0.152645
-0.547135,0.124038,0.0501668,0,0,0.988598,0.150577
-0.642779,0.153389,0.286614,0,0,0.98959,0.143917
-0.739156,0.179951,0.557101,0,0,0.992583,0.121566
-0.836677,0.201892,0.232471,0,0,0.994789,0.101959
-0.934765,0.221576,-0.090865,0,0,0.995143,0.0984401
-1.03267,0.242094,-0.234668,0,0,0.994032,0.109089
-1.13006,0.26477,-0.138594,0,0,0.992971,0.118362
-1.22714,0.288794,-0.0424594,0,0,0.992425,0.122855
-1.26999,0.299597,1.79529e-16,0,0,0.994214,0.107414
-1.36768,0.321456,-0.293696,0,0,0.993399,0.114709
-1.46456,0.346144,-0.589632,0,0,0.990625,0.136607
-1.55993,0.37605,-0.290709,0,0,0.986621,0.16303
-1.6545,0.408708,0.283239,0,0,0.986591,0.163214
-1.74986,0.438653,0.678654,0,0,0.990719,0.135927
-1.84688,0.46274,0.403938,0,0,0.994033,0.109078
-1.94493,0.482915,0.132203,0,0,0.995406,0.095745
-2.04324,0.501703,-0.0415135,0,0,0.995557,0.0941597
-2.14137,0.520875,-0.177959,0,0,0.995026,0.0996187
-2.23912,0.541753,-0.211127,0,0,0.993847,0.110764
-2.33646,0.564623,-0.104483,0,0,0.992942,0.1186
-2.4319,0.588097,3.63591e-19,0,0,0.994059,0.108842
-2.52952,0.60971,0.0141721,0,0,0.994098,0.10849
-2.62718,0.631188,0.0283227,0,0,0.994212,0.107434
-2.72494,0.652427,-0.0656235,0,0,0.994281,0.106797
-2.82252,0.674389,-0.310608,0,0,0.993233,0.116142
-2.91934,0.699361,-0.546411,0,0,0.990484,0.137625
-3.01511,0.72834,0.0295494,0,0,0.988625,0.150402
-3.11091,0.757019,0.607189,0,0,0.99089,0.134677
-3.20804,0.780261,0.546548,0,0,0.994916,0.100704
-3.30645,0.798255,0.162124,0,0,0.996543,0.0830806
-3.40522,0.814645,-0.100494,0,0,0.996493,0.0836772
-3.50377,0.83175,-0.056594,0,0,0.996156,0.0875927
-3.60216,0.849401,-0.0124378,0,0,0.996004,0.0893118
-3.62983,0.854406,8.9339e-18,0,0,0.994454,0.10517
-3.72762,0.875303,0.0120844,0,0,0.994486,0.10487
-3.82544,0.896083,0.0241669,0,0,0.994581,0.103969
-3.92331,0.916631,0.0123457,0,0,0.994716,0.102662
-4.0212,0.937094,-0.0480682,0,0,0.994624,0.103551
-4.11898,0.958026,-0.108516,0,0,0.994211,0.107443
-4.21654,0.979938,-0.0582062,0,0,0.993649,0.112523
-4.31398,1.00241,0.0493105,0,0,0.993624,0.112744
-4.41154,1.0244,0.153117,0,0,0.99419,0.107638
-4.50944,1.04492,0.238991,0,0,0.995198,0.0978866
-4.60777,1.06309,0.325346,0,0,0.996479,0.0838381
-4.70659,1.07829,0.217203,0,0,0.997569,0.0696852
-4.80575,1.09134,0.0800448,0,0,0.998059,0.062271
-4.86379,1.09852,-3.67e-18,0,0,0.99604,0.0889029
-4.96225,1.1161,0.083105,0,0,0.996223,0.0868333
-5.06084,1.13285,0.166311,0,0,0.996745,0.0806202
-5.15967,1.14798,0.170698,0,0,0.99748,0.0709442
-5.25875,1.16152,0.0291066,0,0,0.997822,0.0659616
-5.35787,1.17478,-0.112414,0,0,0.997683,0.0680395
-5.45687,1.1889,-0.0739205,0,0,0.997321,0.0731537
-5.55576,1.20376,-0.0144989,0,0,0.997157,0.075358
-5.65463,1.21878,0.0316926,0,0,0.997198,0.074804
-5.75355,1.23347,0.069776,0,0,0.997385,0.0722742
-5.85256,1.24749,0.0819825,0,0,0.997681,0.0680659
-5.95168,1.26073,0.0447191,0,0,0.997891,0.0649054
-6.05086,1.27352,0.00746328,0,0,0.997975,0.0636036
-6.07073,1.27606,1.09684e-16,0,0,0.998142,0.0609225
-6.17001,1.28857,-0.206722,0,0,0.997814,0.0660794
-6.26893,1.30312,-0.414584,0,0,0.996668,0.0815635
-6.36716,1.32154,-0.297913,0,0,0.99476,0.10224
-6.46488,1.34285,0.00460139,0,0,0.993984,0.109525
-6.56262,1.36411,0.306858,0,0,0.994807,0.101784
-6.66081,1.38305,0.156871,0,0,0.995956,0.0898402
-6.75929,1.40045,-0.00995355,0,0,0.996279,0.0861819
-6.85776,1.4179,-0.0636823,0,0,0.995992,0.0894456
-6.95612,1.43593,-0.000761416,0,0,0.995846,0.0910502
-7.05448,1.45396,0.0604151,0,0,0.995985,0.0895222
-7.15292,1.47154,0.0366325,0,0,0.996199,0.0871055
-7.25143,1.48875,0.0128526,0,0,0.996306,0.0858731
-7.30469,1.49799,3.62591e-18,0,0,0.997471,0.0710793
-7.40367,1.51225,-0.0520295,0,0,0.997377,0.0723766
-7.50257,1.52703,-0.10407,0,0,0.997087,0.0762683
-7.60132,1.54279,-0.0990636,0,0,0.996655,0.0817233
-7.69991,1.55953,-0.0723049,0,0,0.996296,0.0859925
-7.79838,1.57697,-0.0452964,0,0,0.996038,0.0889276
-7.89677,1.59486,-0.0148701,0,0,0.995903,0.0904257
-7.99513,1.6129,0.0155586,0,0,0.995905,0.0904085
-8.09352,1.63083,-0.038484,0,0,0.995929,0.0901429
-8.19183,1.64916,-0.148382,0,0,0.995497,0.0947941
-8.28984,1.66893,-0.213778,0,0,0.994507,0.104669
-8.38745,1.69064,-0.119769,0,0,0.9936,0.112957
-8.48481,1.71352,-0.0258683,0,0,0.993182,0.116574
-8.51163,1.71991,1.87581e-17,0,0,0.99649,0.0837074
-8.61023,1.7366,-0.00603565,0,0,0.996478,0.0838577
-8.70881,1.75335,-0.0120708,0,0,0.99644,0.0843088
-8.80738,1.77023,-0.0237919,0,0,0.996372,0.0851101
-8.90591,1.78734,-0.0460549,0,0,0.996221,0.0868499
-9.00435,1.80491,-0.0683291,0,0,0.995969,0.0896982
-9.10268,1.82311,-0.0520373,0,0,0.995676,0.0928965
-9.20091,1.84182,-0.0254661,0,0,0.995494,0.0948255
-9.29911,1.86077,0.0367745,0,0,0.99547,0.0950712
-9.39739,1.87934,0.151234,0,0,0.995906,0.0903916
-9.49591,1.89641,0.265894,0,0,0.996795,0.0800027
-9.5948,1.91115,0.169273,0,0,0.99763,0.0688087
-9.69395,1.92423,0.0578866,0,0,0.998005,0.0631425
-9.74559,1.93074,1.30443e-17,0,0,0.998367,0.0571208
-9.84499,1.94251,-0.216346,0,0,0.998044,0.0625193
-9.944,1.95642,-0.43421,0,0,0.996896,0.0787346
-10.0423,1.97447,-0.376452,0,0,0.994782,0.10202
-10.1399,1.99614,-0.0898636,0,0,0.993526,0.113602
-10.2374,2.0187,0.19572,0,0,0.993824,0.110972
-10.3351,2.03994,0.0833183,0,0,0.994612,0.103668
-10.433,2.06036,-0.0445893,0,0,0.994712,0.102705
-10.5308,2.08121,-0.147876,0,0,0.994159,0.107922
-10.6283,2.10347,-0.192009,0,0,0.993206,0.116366
-10.7254,2.12759,-0.236371,0,0,0.991903,0.126995
-10.8218,2.15383,-0.153531,0,0,0.990569,0.137016
-10.9179,2.18156,-0.0543503,0,0,0.989843,0.142162
-10.9705,2.19705,-2.06e-16,0,0,0.999396,0.0347616
-11.0705,2.2047,-0.416329,0,0,0.99898,0.0451521
-11.1697,2.21648,-0.839834,0,0,0.997073,0.0764541
-11.2676,2.23561,-0.451467,0,0,0.993706,0.112022
-11.3649,2.25919,0.10028,0,0,0.992687,0.120716
-11.4624,2.28184,0.434445,0,0,0.994595,0.103829
-11.5607,2.30053,0.332523,0,0,0.996404,0.0847309
-11.6595,2.31595,0.230387,0,0,0.997498,0.070699
-11.7586,2.32915,0.0564335,0,0,0.998005,0.0631323
-11.8578,2.3418,-0.138978,0,0,0.997873,0.0651905
-11.9568,2.35581,-0.257028,0,0,0.997065,0.076556
-12.0555,2.3721,-0.112624,0,0,0.996315,0.0857652
-12.1325,2.38568,-4.24e-17,0,0,0.999481,0.0322139
-12.2323,2.39249,-0.218294,0,0,0.99929,0.0376677
-12.3319,2.40147,-0.438003,0,0,0.998538,0.0540517
-12.431,2.41469,-0.359853,0,0,0.996962,0.0778876
-12.5296,2.43132,0.0543226,0,0,0.996339,0.0854919
-12.6283,2.44741,0.468759,0,0,0.997371,0.0724632
-12.7276,2.45927,0.260159,0,0,0.998814,0.0486939
-12.8272,2.46863,-0.296297,0,0,0.998769,0.0495936
-12.9264,2.48078,-0.438655,0,0,0.997299,0.0734444
-13.025,2.49705,-0.10807,0,0,0.996203,0.08706
-13.1236,2.51439,0.221484,0,0,0.996446,0.0842351
-13.2224,2.52984,0.218491,0,0,0.997475,0.0710216
-13.3215,2.54313,0.0917916,0,0,0.997996,0.0632819
-13.3934,2.55213,-4.78e-18,0,0,0.997675,0.0681546
-13.4925,2.56572,0.00374235,0,0,0.997681,0.0680612
-13.5916,2.57928,0.00748366,0,0,0.9977,0.0677812
-13.6907,2.59278,-0.0317659,0,0,0.997692,0.0678995
-13.7897,2.60661,-0.106874,0,0,0.997451,0.0713569
-13.8886,2.6215,-0.147769,0,0,0.996922,0.0784049
-13.9873,2.63767,-0.0326535,0,0,0.996558,0.0829003
-14.0859,2.65416,0.0824159,0,0,0.99666,0.0816603
-14.1847,2.66986,0.160114,0,0,0.997176,0.0750955
-14.2837,2.68399,0.190767,0,0,0.997797,0.066345
-14.3829,2.69624,0.221562,0,0,0.998428,0.0560565
-14.4824,2.70648,0.128789,0,0,0.998882,0.0472699
-14.582,2.71544,0.0344342,0,0,0.999067,0.0431936
-14.6184,2.71857,1.16265e-17,0,0,0.997659,0.0683842
-14.7174,2.7322,0.00832609,0,0,0.997673,0.0681766
-14.8165,2.74575,0.0166444,0,0,0.997716,0.0675537
-14.9156,2.75919,-0.0725699,0,0,0.997696,0.067843
-15.0146,2.77337,-0.243295,0,0,0.997129,0.0757181
-15.1132,2.78993,-0.28142,0,0,0.995832,0.0912054
-15.2114,2.80895,0.0404156,0,0,0.995265,0.0972012
-15.3097,2.82758,0.362395,0,0,0.996193,0.0871769
-15.4084,2.84312,0.302268,0,0,0.99758,0.0695238
-15.5077,2.85567,0.193117,0,0,0.998365,0.0571636
-15.6071,2.86631,0.104005,0,0,0.998746,0.0500645
-15.7067,2.87588,0.0523111,0,0,0.998934,0.0461604
-15.8063,2.88492,0.000542072,0,0,0.998994,0.0448405
-15.8073,2.88502,1.96883e-17,0,0,0.997728,0.0673776
-15.9064,2.89907,-0.359929,0,0,0.997081,0.0763505
-16.0049,2.91666,-0.72042,0,0,0.994654,0.103268
-16.102,2.94115,-0.470533,0,0,0.989975,0.141241
-16.1982,2.9699,0.53295,0,0,0.990186,0.139758
-16.2951,2.99328,1.58028,0,0,0.996153,0.0876284
-16.394,3.0032,0.840229,0,0,0.999799,0.0200723
-16.4943,3.0048,-0.220227,0,0,0.999989,0.00473613
-16.5945,3.0086,-0.941417,0,0,0.999182,0.0404445
-16.6938,3.0205,-0.415167,0,0,0.997233,0.0743426
-16.7926,3.03652,0.111147,0,0,0.996639,0.0819134
-16.8914,3.05189,0.160543,0,0,0.997382,0.0723062
-16.9905,3.06569,0.0604698,0,0,0.997767,0.0667933
-17.0503,3.07366,-2.95e-17,0,0,0.998804,0.0488931
-17.1499,3.08376,-0.200239,0,0,0.998547,0.0538928
-17.2491,3.09585,-0.401526,0,0,0.997623,0.0689056
-17.3478,3.11189,-0.399575,0,0,0.995712,0.0925109
-17.4459,3.13142,0.12734,0,0,0.99506,0.0992787
-17.5442,3.14968,0.656544,0,0,0.996812,0.0797873
-17.6433,3.16241,0.4621,0,0,0.99875,0.0499797
-17.743,3.17056,0.183018,0,0,0.999426,0.0338716
-17.843,3.17688,-0.0846949,0,0,0.999503,0.0315147
-17.9428,3.18405,-0.346384,0,0,0.999106,0.0422786
-18.0422,3.19464,-0.60999,0,0,0.997811,0.0661317
-18.1408,3.21059,-0.385899,0,0,0.995769,0.0918937
-18.2389,3.23037,-0.121604,0,0,0.994523,0.104513
-18.2842,3.2401,4.18159e-17,0,0,0.996906,0.0785997
-18.3831,3.25549,0.173244,0,0,0.997237,0.0742817
-18.4822,3.26916,0.347136,0,0,0.998119,0.0613056
-18.5816,3.27958,0.226935,0,0,0.999018,0.0442987
-18.6812,3.28778,-0.0619084,0,0,0.999192,0.0401798
-18.7809,3.2966,-0.320033,0,0,0.998729,0.0504058
-18.8802,3.30825,-0.310894,0,0,0.997809,0.0661538
-18.9791,3.32298,-0.301774,0,0,0.996679,0.0814327
-19.0776,3.34054,-0.0753689,0,0,0.995691,0.0927345
-19.176,3.35882,0.269286,0,0,0.996128,0.0879137
-19.2747,3.37443,0.565215,0,0,0.997821,0.0659805
-19.374,3.38517,0.332834,0,0,0.99905,0.0435776
-19.4738,3.39261,0.101964,0,0,0.999465,0.0327186
-19.5182,3.39545,-2.23e-17,0,0,0.99725,0.0741137
-19.6172,3.41003,0.122708,0,0,0.997472,0.0710542
-19.7163,3.4234,0.245704,0,0,0.998084,0.0618659
-19.8156,3.43441,0.191673,0,0,0.998802,0.0489427
