x,y,z,w0,w1,w2,w3
80.4444,-104.759,1.50685,0,0,-0.999723,0.0235398
80.345,-104.77,0.585612,0,0,-0.997137,0.0756121
80.2795,-104.781,-2.66E-17,0,0,-0.99774,0.0671904
80.1802,-104.794,-0.408752,0,0,-0.998374,0.0569994
80.0806,-104.802,-0.822828,0,0,-0.999655,0.0262633
79.9807,-104.804,-0.258779,0,0,0.999988,0.00494477
79.8807,-104.803,0.503947,0,0,-0.999999,0.00117992
79.7807,-104.806,0.350188,0,0,-0.999603,0.0281601
79.6809,-104.813,-0.101246,0,0,-0.999409,0.0343759
79.5811,-104.819,-0.102663,0,0,-0.999643,0.0267004
79.4812,-104.824,0.0299978,0,0,-0.99969,0.0248841
79.3814,-104.829,0.0456465,0,0,-0.999617,0.0276632
79.2815,-104.835,0.0102202,0,0,-0.999578,0.0290593
79.2527,-104.836,2.02936e-17,0,0,-0.999342,0.0362699
79.1529,-104.843,-0.265392,0,0,-0.999561,0.0296409
79.053,-104.847,-0.531562,0,0,-0.999953,0.00972232
78.953,-104.847,0.0187452,0,0,0.999989,0.00460712
78.853,-104.847,0.600515,0,0,-0.999932,0.0116939
78.7532,-104.852,0.199529,0,0,-0.999498,0.0316844
78.6533,-104.859,-0.175119,0,0,-0.999498,0.0316954
78.5535,-104.864,-0.0639158,0,0,-0.999669,0.0257198
78.4536,-104.869,0.0474586,0,0,-0.99968,0.0253084
78.3538,-104.875,0.0376371,0,0,-0.999621,0.0275115
78.2539,-104.88,0.0246759,0,0,-0.999577,0.0290686
78.1541,-104.886,0.0117192,0,0,-0.999551,0.0299781
78.0638,-104.892,-4.67E-17,0,0,0.999999,0.00159209
77.9638,-104.892,0.0535496,0,0,1,0.00025338
77.8638,-104.892,0.101072,0,0,-0.999993,0.00374667
77.7638,-104.893,0.0989626,0,0,-0.999962,0.0087473
77.6638,-104.895,0.0968425,0,0,-0.999907,0.0136422
77.5639,-104.899,0.0947143,0,0,-0.99983,0.0184309
77.464,-104.903,0.0925806,0,0,-0.999733,0.0231133
