x,y,z,w0,w1,w2,w3
92.6372,-104.903,1.96413e-16,-0,-0,-0.411811,0.911269
92.6462,-104.903,1.62792e-17,-0,-0,-0.998407,0.0564247
92.5466,-104.912,-0.944392,-0,-0,-0.999459,0.0329021
92.4467,-104.914,-0.177898,0,0,0.999979,0.00649664
92.3467,-104.914,0.869513,-0,-0,-0.999848,0.0174452
92.2469,-104.922,0.598573,-0,-0,-0.998534,0.054129
92.1477,-104.935,0.332521,-0,-0,-0.997003,0.0773616
92.049,-104.952,0.0720537,-0,-0,-0.996168,0.0874559
91.9505,-104.969,-0.189761,-0,-0,-0.996421,0.0845326
91.8518,-104.985,-0.35746,-0,-0,-0.997601,0.0692287
91.7527,-104.997,-0.292053,-0,-0,-0.998592,0.053042
91.6532,-105.006,-0.226316,-0,-0,-0.999195,0.0401071
91.5534,-105.013,-0.160897,-0,-0,-0.999537,0.0304311
91.4534,-105.018,-0.0960066,-0,-0,-0.999712,0.0240033
91.3533,-105.023,-0.0315511,-0,-0,-0.999783,0.0208091
91.3041,-105.025,-8.63494e-20,-0,-0,-0.999808,0.019581
91.2042,-105.029,0.0289842,-0,-0,-0.999794,0.0203055
91.1043,-105.033,0.0579806,-0,-0,-0.999747,0.022479
91.0044,-105.038,0.0262535,-0,-0,-0.999674,0.0255166
90.9045,-105.043,-0.102229,-0,-0,-0.999721,0.0236176
90.8046,-105.047,-0.230418,-0,-0,-0.999883,0.0152991
90.7046,-105.048,-0.379685,-0,-0,-1,7.51582e-05
90.6046,-105.046,-0.491464,0,0,0.999745,0.0225603
90.505,-105.04,-0.369152,0,0,0.999029,0.0440532
90.4055,-105.029,-0.246388,0,0,0.998233,0.0594169
90.3062,-105.016,-0.124596,0,0,0.997639,0.0686771
90.2071,-105.002,-0.00354392,0,0,0.997414,0.0718764
90.108,-104.988,0.0734095,0,0,0.997595,0.0693099
90.0089,-104.974,0.0203324,0,0,0.997755,0.0669702
89.9711,-104.969,5.93118e-18,0,0,0.999612,0.0278717
89.8712,-104.963,-0.285836,0,0,0.999387,0.0350109
89.7717,-104.954,-0.334729,0,0,0.998529,0.0542138
89.6724,-104.943,0.0119981,0,0,0.99806,0.0622636
89.5731,-104.931,0.16907,0,0,0.998473,0.0552421
89.4736,-104.92,0.112959,0,0,0.998838,0.0482003
89.374,-104.911,0.0730933,0,0,0.999039,0.0438394
89.2744,-104.903,0.0716609,0,0,0.999191,0.0402236
89.1746,-104.895,0.070235,0,0,0.999327,0.0366787
89.0749,-104.888,0.0688162,0,0,0.999449,0.0332044
88.9751,-104.882,0.0674048,0,0,0.999556,0.0298005
88.8752,-104.876,0.0418185,0,0,0.999637,0.026939
88.7754,-104.871,0.00947442,0,0,0.999671,0.0256571
88.7461,-104.869,-2.55099e-18,0,0,0.998716,0.0506618
88.6466,-104.859,-0.011773,0,0,0.998701,0.0509557
88.5472,-104.849,-0.0235497,0,0,0.998656,0.0518376
88.4477,-104.839,-0.0857698,0,0,0.998522,0.0543488
88.3484,-104.827,-0.158415,0,0,0.998172,0.0604447
88.2491,-104.815,0.148628,0,0,0.998059,0.0622706
88.1498,-104.804,0.532935,0,0,0.998975,0.0452655
88.05,-104.797,0.208426,0,0,0.999675,0.0254866
87.9501,-104.792,-0.16938,0,0,0.9997,0.0245123
87.8503,-104.786,-0.0909884,0,0,0.999499,0.0316607
87.7644,-104.781,-2.59693e-17,0,0,0.999993,0.00372432
87.6644,-104.78,-0.0992644,0,0,0.999981,0.00620563
87.5644,-104.778,-0.198502,0,0,0.999907,0.0136494
87.4645,-104.774,-0.297245,0,0,0.999661,0.0260471
